timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
100770862,100770862,12,45,0,0,30003,1501,1509,1507,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
100962963,100962963,12,45,0,0,30003,1501,1509,1507,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
101159136,101159136,12,45,0,0,30003,1501,1509,1507,1505,1505,1258,1105,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
101362784,101362784,12,45,0,0,30003,1500,1509,1507,1505,1505,1258,1105,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
101583011,101583011,12,45,0,0,30003,1501,1509,1507,1505,1505,1258,1105,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
101771198,101771198,12,45,0,0,30004,1500,1509,1507,1505,1505,1257,1105,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
101970764,101970764,12,45,0,0,30003,1500,1509,1507,1505,1505,1257,1105,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
102191576,102191576,12,45,0,0,30003,1500,1509,1507,1505,1505,1257,1105,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
102383934,102383934,12,45,0,0,30003,1500,1509,1507,1505,1505,1257,1105,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
102587752,102587752,12,45,0,0,30003,1500,1509,1507,1505,1505,1257,1106,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
102787606,102787606,12,45,0,0,30004,1501,1509,1508,1505,1505,1257,1105,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
102995976,102995976,12,45,0,0,30003,1501,1508,1508,1505,1505,1257,1105,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
103191774,103191774,12,45,0,0,30003,1500,1509,1508,1505,1505,1257,1105,1105,1505,1106,1505,1257,0,0,0,0,0,0,0,0,2
103391958,103391958,12,45,0,0,30003,1500,1509,1507,1505,1506,1257,1105,1105,1505,1106,1505,1257,0,0,0,0,0,0,0,0,2
103604643,103604643,12,45,0,0,30003,1501,1509,1507,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
103800457,103800457,12,45,0,0,30003,1500,1509,1507,1505,1505,1258,1105,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
103996465,103996465,12,45,0,0,30004,1500,1509,1507,1505,1505,1257,1106,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
104212371,104212371,12,45,0,0,30003,1501,1509,1507,1505,1505,1257,1106,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
104396781,104396781,12,45,0,0,30004,1501,1509,1508,1505,1505,1257,1105,1105,1505,1106,1505,1257,0,0,0,0,0,0,0,0,2
104600533,104600533,12,45,0,0,30004,1501,1509,1507,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
104816349,104816349,12,45,0,0,30003,1500,1509,1507,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
105012348,105012348,12,45,0,0,30003,1501,1509,1507,1505,1506,1257,1105,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
105213170,105213170,12,45,0,0,30003,1500,1509,1507,1504,1505,1257,1106,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
105417197,105417197,12,45,0,0,30003,1500,1509,1507,1505,1505,1257,1105,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
105625166,105625166,12,45,0,0,30003,1499,1510,1507,1505,1505,1257,1105,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
105821178,105821178,12,45,0,0,30003,1500,1509,1507,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
106021180,106021180,12,45,0,0,30003,1501,1509,1507,1506,1505,1257,1105,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
106233396,106233396,12,45,0,0,30003,1501,1509,1507,1505,1506,1257,1105,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
