timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
93491869,32767,32767,32767,32767,-61,-40,32767
93495869,32767,32767,32767,32767,32767,32767,32767
93499889,32767,32767,32767,32767,32767,32767,32767
93503893,32767,32767,32767,32767,-73,-64,32767
93507875,32767,32767,32767,32767,32767,32767,32767
93511869,32767,32767,32767,32767,32767,-40,32767
93515882,32767,32767,32767,32767,32767,32767,32767
93519869,32767,32767,-93,32767,32767,32767,32767
93523882,32767,32767,32767,32767,-57,-56,32767
93527875,32767,32767,32767,32767,32767,32767,32767
93531868,32767,32767,32767,32767,32767,-40,32767
93535869,32767,32767,32767,32767,-68,32767,32767
93539869,32767,32767,32767,32767,32767,32767,32767
93543868,32767,32767,32767,32767,-48,-72,32767
93547875,32767,32767,32767,32767,32767,32767,32767
93551869,32767,32767,32767,32767,32767,-40,32767
93555868,32767,32767,32767,32767,32767,32767,32767
93559869,32767,32767,32767,32767,32767,32767,32767
93563910,32767,32767,32767,32767,32767,-73,32767
93567875,32767,32767,32767,32767,-68,32767,32767
93571902,32767,32767,32767,32767,32767,-41,32767
93575869,32767,32767,32767,32767,32767,32767,32767
93579869,32767,32767,32767,32767,-65,32767,32767
93583929,32767,32767,32767,32767,32767,-73,32767
93587869,32767,32767,32767,32767,32767,32767,32767
93591870,32767,32767,32767,32767,-71,-48,32767
93595879,32767,32767,32767,32767,32767,32767,32767
93599882,32767,32767,32767,32767,32767,32767,32767
93603869,32767,32767,32767,32767,32767,-72,32767
93607869,32767,32767,32767,32767,32767,32767,32767
93611119,32767,32767,32767,32767,-55,-41,32767
93615068,32767,32767,32767,32767,32767,32767,32767
93618314,32767,32767,32767,32767,32767,32767,32767
93623069,32767,32767,32767,32767,-70,-64,32767
93627077,32767,32767,32767,32767,32767,32767,32767
93631112,32767,32767,32767,32767,-38,-41,32767
93635875,32767,32767,32767,32767,32767,32767,32767
93639869,32767,32767,32767,32767,32767,-40,32767
93643869,32767,32767,32767,32767,32767,32767,32767
93647890,32767,32767,32767,32767,32767,32767,32767
93651907,32767,32767,32767,32767,32767,-49,32767
93655900,32767,32767,32767,32767,-69,32767,32767
93659876,32767,32767,32767,32767,32767,-40,32767
93663869,32767,32767,32767,32767,32767,32767,32767
93667917,32767,32767,32767,32767,-72,32767,32767
93671918,32767,32767,32767,32767,32767,-49,32767
93675875,32767,32767,32767,32767,-47,32767,32767
93679090,32767,32767,32767,32767,32767,-32,32767
93683068,32767,32767,32767,32767,32767,32767,32767
93687069,32767,32767,32767,32767,32767,32767,32767
93691070,32767,32767,32767,32767,32767,-55,32767
93695069,32767,32767,32767,32767,32767,32767,32767
93698316,32767,32767,32767,32767,-53,32767,32767
93703068,32767,32767,32767,32767,32767,-72,32767
93707075,32767,32767,32767,32767,32767,32767,32767
93711069,32767,32767,32767,32767,-62,-40,32767
93715086,32767,32767,32767,32767,32767,32767,32767
93718317,32767,32767,32767,32767,32767,32767,32767
93723069,32767,32767,-99,32767,-72,-72,32767
93727082,32767,32767,32767,32767,32767,32767,32767
93731069,32767,32767,32767,32767,32767,-56,32767
93735090,32767,32767,32767,32767,32767,32767,32767
93739096,32767,32767,32767,32767,32767,32767,32767
93743069,32767,32767,32767,32767,-60,-72,32767
93747070,32767,32767,32767,32767,32767,32767,32767
93751069,32767,32767,32767,32767,32767,-64,32767
93755075,32767,32767,32767,32767,-70,32767,32767
93759076,32767,32767,32767,32767,32767,-40,32767
93763087,32767,32767,32767,32767,32767,32767,32767
93767069,32767,32767,32767,32767,-65,32767,32767
93771074,32767,32767,32767,32767,32767,-64,32767
93775075,32767,32767,32767,32767,32767,32767,32767
93779096,32767,32767,32767,32767,32767,-40,32767
93783068,32767,32767,32767,32767,32767,32767,32767
93787068,32767,32767,32767,32767,-50,32767,32767
93791069,32767,32767,32767,32767,32767,-64,32767
93795075,32767,32767,32767,32767,32767,32767,32767
93799086,32767,32767,32767,32767,-60,-40,32767
93803075,32767,32767,32767,32767,32767,32767,32767
93807068,32767,32767,32767,32767,-37,32767,32767
93811068,32767,32767,32767,32767,32767,-64,32767
93815076,32767,32767,32767,32767,32767,32767,32767
93819118,32767,32767,32767,32767,32767,-41,32767
93823069,32767,32767,32767,32767,32767,32767,32767
93827089,32767,32767,32767,32767,32767,32767,32767
93831069,32767,32767,32767,32767,-65,-64,32767
93835082,32767,32767,32767,32767,32767,32767,32767
93839070,32767,32767,32767,32767,-37,-40,32767
93843069,32767,32767,32767,32767,32767,32767,32767
93847118,32767,32767,32767,32767,32767,32767,32767
93851076,32767,32767,32767,32767,-47,-72,32767
93855069,32767,32767,32767,32767,32767,32767,32767
93859069,32767,32767,32767,32767,32767,-55,32767
93863076,32767,32767,32767,32767,32767,32767,32767
