timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
349498383,349498311,-0.0071842344,0.0023253267,-0.6972286,-0.0,0.0,0.0,0.0,0.0
349539938,349539869,-0.00636391,0.0022614761,-0.6974463,-0.0,0.0,0.0,0.0,0.0
349543950,349543881,-0.0066045485,0.0025925608,-0.69737446,-0.0,0.0,0.0,0.0,0.0
349547959,349547887,-0.0066986154,0.0019563108,-0.6972803,-0.0,0.0,0.0,0.0,0.0
349551962,349551892,-0.006270479,0.0015304557,-0.6971829,-0.0,0.0,0.0,0.0,0.0
349555975,349555869,-0.00673622,0.0019069052,-0.69710624,-0.0,0.0,0.0,0.0,0.0
349559938,349559869,-0.0068399822,0.0020697662,-0.6971104,-0.0,0.0,0.0,0.0,0.0
349563979,349563869,-0.0061146845,0.0017601644,-0.6972118,-0.0,0.0,0.0,0.0,0.0
349567938,349567869,-0.0060843136,0.0024959676,-0.69721967,-0.0,0.0,0.0,0.0,0.0
349571189,349571114,-0.006167441,0.0025577112,-0.6972201,-0.0,0.0,0.0,0.0,0.0
349575141,349575069,-0.0058511696,0.0021003634,-0.69730645,-0.0,0.0,0.0,0.0,0.0
349579179,349579105,-0.0061406214,0.0023436337,-0.69738597,-0.0,0.0,0.0,0.0,0.0
349583142,349583070,-0.0060590096,0.002375756,-0.69743556,-0.0,0.0,0.0,0.0,0.0
349587141,349587069,-0.006385909,0.0021131595,-0.697497,-0.0,0.0,0.0,0.0,0.0
349591168,349591088,-0.0066741076,0.002042177,-0.69741106,-0.0,0.0,0.0,0.0,0.0
349595141,349595069,-0.0063410755,0.0021346102,-0.69720197,-0.0,0.0,0.0,0.0,0.0
349598364,349598295,-0.0063439514,0.0016328515,-0.6971231,-0.0,0.0,0.0,0.0,0.0
349602344,349602269,-0.0061861128,0.0015180572,-0.69717777,-0.0,0.0,0.0,0.0,0.0
349606375,349606269,-0.0063916575,0.0022029174,-0.6973428,-0.0,0.0,0.0,0.0,0.0
349610380,349610269,-0.0064373054,0.0022042682,-0.6974156,-0.0,0.0,0.0,0.0,0.0
349614347,349614269,-0.0060245446,0.0027444826,-0.69748014,-0.0,0.0,0.0,0.0,0.0
349618371,349618298,-0.006494775,0.002597516,-0.697503,-0.0,0.0,0.0,0.0,0.0
349622338,349622269,-0.0069780555,0.0024300008,-0.6975202,-0.0,0.0,0.0,0.0,0.0
349625557,349625484,-0.0068934667,0.0025503745,-0.69753695,-0.0,0.0,0.0,0.0,0.0
349629576,349629503,-0.00659882,0.0024284874,-0.69750655,-0.0,0.0,0.0,0.0,0.0
349634338,349634269,-0.006357638,0.002225888,-0.6974527,-0.0,0.0,0.0,0.0,0.0
349638360,349638271,-0.006872536,0.0023080325,-0.6973596,-0.0,0.0,0.0,0.0,0.0
349642360,349642283,-0.006652176,0.002411149,-0.69718164,-0.0,0.0,0.0,0.0,0.0
349646381,349646311,-0.006348001,0.002275394,-0.6971161,-0.0,0.0,0.0,0.0,0.0
349650338,349650268,-0.0062356004,0.0024783018,-0.6972257,-0.0,0.0,0.0,0.0,0.0
349654338,349654269,-0.006248451,0.0022369712,-0.69730014,-0.0,0.0,0.0,0.0,0.0
349658361,349658291,-0.0067632115,0.002213049,-0.69737184,-0.0,0.0,0.0,0.0,0.0
349662338,349662269,-0.0064747827,0.0022814118,-0.69736695,-0.0,0.0,0.0,0.0,0.0
349665562,349665493,-0.0062041897,0.0021145414,-0.6973917,-0.0,0.0,0.0,0.0,0.0
349669575,349669504,-0.0062279813,0.0019833755,-0.6974236,-0.0,0.0,0.0,0.0,0.0
349673567,349673469,-0.0062719723,0.0015148185,-0.69746417,-0.0,0.0,0.0,0.0,0.0
349677587,349677476,-0.006720696,0.0016404531,-0.69740784,-0.0,0.0,0.0,0.0,0.0
349681559,349681487,-0.00627949,0.0023011086,-0.69733685,-0.0,0.0,0.0,0.0,0.0
349685575,349685502,-0.0065463637,0.0027509932,-0.6972474,-0.0,0.0,0.0,0.0,0.0
349689573,349689504,-0.0064434707,0.002890678,-0.6971689,-0.0,0.0,0.0,0.0,0.0
349693575,349693469,-0.006627971,0.0023580026,-0.6971418,-0.0,0.0,0.0,0.0,0.0
349697538,349697469,-0.0063485084,0.0017794389,-0.6972905,-0.0,0.0,0.0,0.0,0.0
349701545,349701475,-0.0055036233,0.0018008024,-0.6973612,-0.0,0.0,0.0,0.0,0.0
