timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
349502266,-0.15094367,-0.17390735,0.3200854
349543066,-0.14214219,-0.1431538,0.32438427
349551884,-0.14919937,-0.13953847,0.32433215
349553466,-0.14922717,-0.13950782,0.33022165
349562285,-0.14922717,-0.13950782,0.33022165
349571882,-0.14922717,-0.13950782,0.33022165
349581468,-0.15099876,-0.15215388,0.33175156
349591079,-0.14919981,-0.15761524,0.3244262
349601466,-0.16511282,-0.1340771,0.33159086
349611088,-0.1545274,-0.15215388,0.3317349
349621466,-0.1456571,-0.15039983,0.32146046
349631067,-0.15271455,-0.15763056,0.32146478
349641466,-0.145671,-0.15038452,0.32440525
349651066,-0.1439136,-0.1485692,0.32587653
349661475,-0.1438996,-0.14496915,0.32291293
349671067,-0.1438996,-0.14496915,0.32291293
349681478,-0.1438996,-0.14496915,0.32291293
349690267,-0.15967432,-0.15050712,0.3007805
349701466,-0.14741443,-0.14859985,0.31997034
349710267,-0.15971638,-0.16492258,0.30969006
349721508,-0.14918593,-0.15763056,0.32148144
349730284,-0.15628451,-0.14312315,0.33020717
349741466,-0.15451305,-0.13409242,0.32869607
349750271,-0.14572634,-0.13947716,0.33612782
349761469,-0.15632631,-0.14669254,0.33906025
349770272,-0.1528115,-0.14306185,0.34200284
349779913,-0.1528115,-0.14306185,0.34200284
349789466,-0.1509845,-0.13770778,0.32873154
349799067,-0.1527142,-0.14316912,0.32138953
349809466,-0.15276997,-0.15033855,0.3332062
349819071,-0.14928296,-0.14667721,0.3420383
349829467,-0.14561558,-0.15767655,0.3126638
349839067,-0.1615564,-0.13410775,0.32571802
349849466,-0.17218453,-0.15575393,0.33461517
349859073,-0.14218417,-0.15395392,0.333275
349869466,-0.168614,-0.1485692,0.32575995
349879867,-0.168614,-0.1485692,0.32575995
349889467,-0.168614,-0.1485692,0.32575995
349898292,-0.1492138,-0.16121526,0.32738978
349909466,-0.16334195,-0.15035386,0.33021146
349918316,-0.16152886,-0.14498448,0.3198849
349929474,-0.1580562,-0.15938461,0.33175588
349938266,-0.14745587,-0.13770778,0.3287482
349949466,-0.15097068,-0.14133847,0.3258056
349958267,-0.15451322,-0.14132313,0.3287337
349969466,-0.15458263,-0.13763116,0.34343866
349978267,-0.14219762,-0.1358618,0.33612567
349997466,-0.14921309,-0.13229239,0.32723927
350007067,-0.15097068,-0.14133847,0.3258056
350017466,-0.14741452,-0.15221518,0.31998917
350027067,-0.1579865,-0.1522305,0.31699443
350037466,-0.14031564,-0.15587653,0.311207
350047066,-0.15443018,-0.15587653,0.31114036
350057466,-0.17211519,-0.16306126,0.319929
350067066,-0.15094306,-0.14859985,0.31995368
350077466,-0.1597441,-0.16127656,0.31556076
350087067,-0.14741452,-0.15221518,0.31998917
350097480,-0.14741452,-0.15221518,0.31998917
350107072,-0.14392811,-0.17386137,0.328953
350117466,-0.14562948,-0.15766121,0.3156086
350126267,-0.15625697,-0.1539999,0.32437408
350137466,-0.14218399,-0.1467232,0.33323735
350146268,-0.15458281,-0.14486188,0.3434763
350157466,-0.1510123,-0.13767713,0.33462104
350166267,-0.16161208,-0.13766181,0.33751583
350177466,-0.1580693,-0.12683105,0.33453128
350187111,-0.15276997,-0.15033855,0.3332062
350197466,-0.15978535,-0.1431538,0.32430097
