timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
175388257,175388022,-0.021619296,-0.013418525,-0.04794425,0.08,0.0,0.0,0.0,0.0
175393080,175392830,-0.021574171,-0.013265501,-0.04777304,0.08,0.0,0.0,0.0,0.0
175397037,175396823,-0.021475501,-0.013326829,-0.047604423,0.08,0.0,0.0,0.0,0.0
175401051,175400826,-0.021357205,-0.013381679,-0.047782663,0.08,0.0,0.0,0.0,0.0
175405097,175404822,-0.02148857,-0.013884692,-0.047131367,0.08,0.0,0.0,0.0,0.0
175437016,175436822,-0.02170564,-0.014062228,-0.04572538,0.08,0.0,0.0,0.0,0.0
175441050,175440860,-0.021311365,-0.013806866,-0.046315495,0.08,0.0,0.0,0.0,0.0
175445095,175444828,-0.021526251,-0.013190179,-0.04639178,0.08,0.0,0.0,0.0,0.0
175449010,175448822,-0.021932252,-0.013132937,-0.046259563,0.08,0.0,0.0,0.0,0.0
175453049,175452822,-0.022188127,-0.013831782,-0.046533953,0.08,0.0,0.0,0.0,0.0
175457034,175456835,-0.022190271,-0.014255527,-0.04611426,0.08,0.0,0.0,0.0,0.0
175461018,175460822,-0.021922396,-0.013786743,-0.046095338,0.08,0.0,0.0,0.0,0.0
175465860,175465621,-0.02179381,-0.01326053,-0.046143766,0.08,0.0,0.0,0.0,0.0
175470632,175470422,-0.021838294,-0.012893008,-0.046157636,0.08,0.0,0.0,0.0,0.0
175474650,175474456,-0.021612262,-0.012868624,-0.046138853,0.08,0.0,0.0,0.0,0.0
175478707,175478421,-0.02174327,-0.013404654,-0.047305726,0.08,0.0,0.0,0.0,0.0
175482615,175482421,-0.021691658,-0.013670858,-0.047060613,0.08,0.0,0.0,0.0,0.0
175486657,175486421,-0.021487018,-0.013487325,-0.047009896,0.08,0.0,0.0,0.0,0.0
175490626,175490421,-0.02134805,-0.013285285,-0.04706314,0.08,0.0,0.0,0.0,0.0
175494687,175494473,-0.021700786,-0.013678652,-0.04689912,0.08,0.0,0.0,0.0,0.0
175498706,175498422,-0.022116356,-0.013828217,-0.047114223,0.08,0.0,0.0,0.0,0.0
175502625,175502421,-0.022230692,-0.0137699945,-0.047959875,0.08,0.0,0.0,0.0,0.0
175506659,175506427,-0.022050343,-0.0137249855,-0.04794112,0.08,0.0,0.0,0.0,0.0
175510624,175510421,-0.021551358,-0.013583895,-0.04787018,0.08,0.0,0.0,0.0,0.0
175514664,175514459,-0.021603204,-0.013619886,-0.04794046,0.08,0.0,0.0,0.0,0.0
175518658,175518421,-0.02218811,-0.013704278,-0.047762763,0.08,0.0,0.0,0.0,0.0
175522653,175522422,-0.022664674,-0.013790676,-0.047629114,0.08,0.0,0.0,0.0,0.0
175526680,175526427,-0.022504581,-0.013585113,-0.047663376,0.08,0.0,0.0,0.0,0.0
