timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
175388022,-0.0024010132,0.0014779973,-0.00015823469,4000,0,-0.015634343,0.05049521,-9.728212,4000
175392830,-0.002281069,0.0018115914,-0.0013107079,4808,0,-0.009043885,0.025934424,-9.739037,4808
175396823,-0.0031312746,0.0022240293,-0.0016578891,3993,0,0.0045689726,0.019921089,-9.740776,3993
175400826,-0.0035701608,0.0014658177,-0.00060747284,4003,0,-0.010728278,0.029042635,-9.752324,4003
175436822,-0.0025802471,0.0044614514,-0.0023932445,4000,0,-0.0136309955,0.023368876,-9.7447,4000
175440860,-0.0038049463,0.0017896108,0.0014219127,4038,0,-0.0055340664,0.031964403,-9.745088,4038
175444828,-0.0015521207,0.0003977531,0.00058757124,3968,0,0.005509723,0.0414439,-9.742582,3968
175448822,-0.0017731213,0.0030569474,0.0003692253,3994,0,0.008293645,0.0289911,-9.739833,3994
175452822,-0.0017747277,0.004558482,0.0004929666,4000,0,0.0021234183,0.028013693,-9.732243,4000
175456835,-0.001743113,0.0033901287,-0.0019463309,4013,0,0.00475094,0.028456524,-9.722787,4013
175460822,-0.0026035467,0.0009449208,-0.0012301,3987,0,0.002459291,0.03956614,-9.758274,3987
175465621,-0.0019230623,0.0016352136,-0.0017426219,4799,0,0.0019598773,0.0386443,-9.748028,4799
175470422,-0.0019286781,0.00039668562,-0.0013121597,4801,0,0.00038773366,0.042229865,-9.742497,4801
175474456,-0.003346721,0.0015899424,-0.0010181888,4034,0,-0.0023995254,0.04232056,-9.7436285,4034
175478421,-0.0017511355,0.0022215068,-0.001658704,3965,0,0.00643914,0.05351614,-9.738295,3965
175482421,-0.0026034424,0.0011651703,-0.0017740233,4000,0,-0.0001330975,0.06349625,-9.737997,4000
175486421,-0.0043941,9.754743e-05,-0.002639517,4000,0,-0.009361455,0.04862432,-9.74703,4000
175490421,-0.0023981042,0.0016771558,-0.0017579808,4000,0,-0.010008392,0.043763854,-9.736774,4000
