timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
175491647,-0.0,-0.0,2.982497,-0.23693155,0.07946397,0.0,-0.0,0.99683774,0.08,0.0,1,0,0,0,0,0,0
175500430,-0.0,-0.0,2.9824867,-0.24077395,0.079469085,0.0,-0.0,0.9968373,0.08,0.0,1,0,0,0,0,0,0
175603854,-0.0,-0.0,2.9825366,-0.24745294,0.079444245,0.0,-0.0,0.9968393,0.08,0.0,1,0,0,0,0,0,0
175700442,-0.0,-0.0,2.9825883,-0.24946089,0.07941846,0.0,-0.0,0.9968414,0.08,0.0,1,0,0,0,0,0,0
175805080,-0.0,-0.0,2.9822145,-0.24211513,0.07960479,0.0,-0.0,0.9968265,0.08,0.0,1,0,0,0,0,0,0
175909410,-0.0,-0.0,2.983024,-0.23945428,0.079201356,0.0,-0.0,0.99685866,0.08,0.0,1,0,0,0,0,0,0
176012430,-0.0,-0.0,2.9827173,-0.22230384,0.07935417,0.0,-0.0,0.9968465,0.08,0.0,1,0,0,0,0,0,0
176108667,-0.0,-0.0,2.982718,-0.20589297,0.07935382,0.0,-0.0,0.99684656,0.08,0.0,1,0,0,0,0,0,0
176210122,-0.0,-0.0,2.9828603,-0.18772295,0.07928287,0.0,-0.0,0.9968522,0.08,0.0,1,0,0,0,0,0,0
176314248,-0.0,-0.0,2.9827962,-0.09073869,0.07931484,0.0,-0.0,0.99684966,0.08,0.0,1,0,0,0,0,0,0
176419001,-0.0,-0.0,2.9829276,-0.021299828,0.07924935,0.0,-0.0,0.99685484,0.08,0.0,1,0,0,0,0,0,0
176514119,-0.0,-0.0,2.9828005,-0.008433575,0.07931269,0.0,-0.0,0.99684983,0.08,0.0,1,0,0,0,0,0,0
176618364,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.08,0.0,1,0,0,0,0,0,0
176722572,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.08,0.0,1,0,0,0,0,0,0
176818150,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.08,0.0,1,0,0,0,0,0,0
176922594,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.08,0.0,1,0,0,0,0,0,0
177026735,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.08,0.0,1,0,0,0,0,0,0
177123639,-0.0,-0.0,2.9827893,-0.0,0.07931828,0.0,-0.0,0.99684936,0.08320825,0.0,1,0,0,0,0,0,0
177227763,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.10228437,0.0,1,0,0,0,0,0,0
