timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
174967459,inf,1,0,0,0
175984488,inf,1,0,0,0
176986717,inf,1,0,0,0
177197093,inf,0,0,1,0
178206727,inf,0,0,1,0
178750788,inf,0,0,0,0
179770608,inf,0,0,0,0
180781294,inf,0,0,0,0
181801489,inf,0,0,0,0
182809039,inf,0,0,0,0
183812307,inf,0,0,0,0
184813245,inf,0,0,0,0
186844501,inf,0,0,0,0
187853079,inf,0,0,0,0
188020627,inf,0,0,1,0
188639510,inf,0,0,0,1
188976513,inf,1,0,0,0
189996323,inf,1,0,0,0
190407094,inf,0,0,1,0
191164521,inf,0,0,0,0
192184195,inf,0,0,0,0
193186988,inf,0,0,0,0
194189542,inf,0,0,0,0
195210281,inf,0,0,0,0
196227497,inf,0,0,0,0
197232485,inf,0,0,0,0
197802337,inf,0,0,1,0
198090038,inf,0,0,0,1
198426610,inf,1,0,0,0
199178322,inf,0,0,1,0
199611816,inf,0,0,0,0
200614370,inf,0,0,0,0
201618618,inf,0,0,0,0
202620605,inf,0,0,0,0
203635501,inf,0,0,0,0
204644384,inf,0,0,0,0
205646573,inf,0,0,0,0
206649191,inf,0,0,0,0
207661783,inf,0,0,0,0
208665492,inf,0,0,0,0
209670706,inf,0,0,0,0
210683484,inf,0,0,0,0
211703516,inf,0,0,0,0
213719533,inf,0,0,0,0
214724316,inf,0,0,0,0
215729406,inf,0,0,0,0
216739029,inf,0,0,0,0
217748792,inf,0,0,0,0
218749785,inf,0,0,0,0
219752480,inf,0,0,0,0
220768490,inf,0,0,0,0
221788650,inf,0,0,0,0
222801534,inf,0,0,0,0
223804947,inf,0,0,0,0
224825568,inf,0,0,0,0
225829893,inf,0,0,0,0
226848577,inf,0,0,0,0
227851533,inf,0,0,0,0
228856542,inf,0,0,0,0
229857485,inf,0,0,0,0
230872491,inf,0,0,0,0
231885783,inf,0,0,0,0
232891511,inf,0,0,0,0
233894549,inf,0,0,0,0
234901785,inf,0,0,0,0
235918814,inf,0,0,0,0
236930595,inf,0,0,0,0
237932589,inf,0,0,0,0
238942583,inf,0,0,0,0
239959934,inf,0,0,0,0
240977552,inf,0,0,0,0
241998789,inf,0,0,0,0
243001933,inf,0,0,0,0
244017480,inf,0,0,0,0
244397526,inf,0,0,1,0
244685481,inf,0,0,0,1
245018576,inf,1,0,0,0
246038758,inf,1,0,0,0
247047796,inf,1,0,0,0
248068505,inf,1,0,0,0
249070573,inf,1,0,0,0
250089536,inf,1,0,0,0
251108117,inf,1,0,0,0
253133915,inf,1,0,0,0
254137480,inf,1,0,0,0
255149917,inf,1,0,0,0
