timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
175388525,0,0.0,0.0,0.0,0.0,-0.971729,-2.3742505e-06,-2.236855e-06,0.0,-0.014321144,-0.01827033,-0.023594623,-0.03376567,-0.0005935626,-0.0005592137,0.0,0.0027253747,-0.023343211,0.008685451,2.982489,0.0,0.10663116,0.023594623,0.12284604,0.25316027,0.101721644,0.1101084,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
175490968,0,0.0,0.0,0.0,0.0,-0.9746657,-2.3742505e-06,-2.236855e-06,0.0,-0.014005259,-0.01804763,-0.023965286,-0.0334564,-0.0005935626,-0.0005592137,0.0,-0.0035878809,-0.008628349,-0.0015665477,2.982497,0.0,0.1071105,0.023965286,0.12384177,0.2541864,0.10227949,0.11037964,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
175586930,0,0.0,0.0,0.0,0.0,-0.9780684,-2.3742505e-06,-2.236855e-06,0.0,-0.013819047,-0.01860019,-0.024009869,-0.033680677,-0.0005935626,-0.0005592137,0.0,0.0031903477,-0.0029605515,0.0007870214,2.9825354,0.0,0.11007583,0.024009869,0.12197745,0.2521183,0.101318836,0.1098679,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
175691698,0,0.0,0.0,0.0,0.0,-0.9841294,-2.3742505e-06,-2.236855e-06,0.0,-0.01340368,-0.017810445,-0.025681693,-0.037635945,-0.0005935626,-0.0005592137,0.0,0.019246448,-0.023474563,-0.00036221737,2.9825907,0.0,0.10042155,0.025681693,0.122988515,0.25319174,0.1018733,0.110136464,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
175795711,0,0.0,0.0,0.0,0.0,-0.98907757,-2.3742505e-06,-2.236855e-06,0.0,-0.013303274,-0.017770788,-0.02620936,-0.03898707,-0.0005935626,-0.0005592137,0.0,-0.038229898,-0.034489814,-0.021227745,2.9821723,0.0,0.104756534,0.02620936,0.12390917,0.25417918,0.10235695,0.110389486,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
175891689,0,0.0,0.0,0.0,0.0,-0.9912961,-2.3742505e-06,-2.236855e-06,0.0,-0.012633501,-0.018244194,-0.026631089,-0.03768732,-0.0005935626,-0.0005592137,0.0,0.07117312,0.016025959,0.081502765,2.9830136,0.0,0.11038852,0.026631089,0.122280866,0.2523822,0.10152413,0.109897725,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
175995705,0,0.0,0.0,0.0,0.0,-0.9913456,-2.3742505e-06,-2.236855e-06,0.0,-0.012448463,-0.018550297,-0.025837606,-0.03297074,-0.0005935626,-0.0005592137,0.0,0.046579093,-0.073809646,-0.11171743,2.982618,0.0,0.11768919,0.025837606,0.12138913,0.25133857,0.10108883,0.1096189,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
176099725,0,0.0,0.0,0.0,0.0,-0.9889886,-2.3742505e-06,-2.236855e-06,0.0,-0.012685486,-0.018313508,-0.023165563,-0.024762744,-0.0005935626,-0.0005592137,0.0,-0.02983688,0.02055484,-0.05059096,2.9827363,0.0,0.11924702,0.023165563,0.12233385,0.2523108,0.10160141,0.109891236,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
176201316,0,0.0,0.0,0.0,0.0,-0.9875958,-2.3742505e-06,-2.236855e-06,0.0,-0.01200859,-0.018736994,-0.022295367,-0.02027104,-0.0005935626,-0.0005592137,0.0,0.11868886,0.10043664,-0.09113788,2.9828818,0.0,0.114269435,0.022295367,0.12314086,0.25320482,0.1019916,0.110128045,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
176297218,0,0.0,0.0,0.0,0.0,-0.98968184,-2.3742505e-06,-2.236855e-06,0.0,-0.011717296,-0.018867098,-0.022390347,-0.020683775,-0.0005935626,-0.0005592137,0.0,-0.023941282,0.013479168,0.032271195,2.9827716,0.0,0.10931432,0.022390347,0.12342634,0.25350443,0.102139436,0.11019632,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,1
