timestamp,type,_padding0[0],_padding0[1],_padding0[2],_padding0[3],_padding0[4],_padding0[5],_padding0[6],waypoints[0].timestamp,waypoints[0].position[0],waypoints[0].position[1],waypoints[0].position[2],waypoints[0].velocity[0],waypoints[0].velocity[1],waypoints[0].velocity[2],waypoints[0].acceleration[0],waypoints[0].acceleration[1],waypoints[0].acceleration[2],waypoints[0].yaw,waypoints[0].yaw_speed,waypoints[0].point_valid,waypoints[0]._padding0[0],waypoints[0]._padding0[1],waypoints[0]._padding0[2],waypoints[1].timestamp,waypoints[1].position[0],waypoints[1].position[1],waypoints[1].position[2],waypoints[1].velocity[0],waypoints[1].velocity[1],waypoints[1].velocity[2],waypoints[1].acceleration[0],waypoints[1].acceleration[1],waypoints[1].acceleration[2],waypoints[1].yaw,waypoints[1].yaw_speed,waypoints[1].point_valid,waypoints[1]._padding0[0],waypoints[1]._padding0[1],waypoints[1]._padding0[2],waypoints[2].timestamp,waypoints[2].position[0],waypoints[2].position[1],waypoints[2].position[2],waypoints[2].velocity[0],waypoints[2].velocity[1],waypoints[2].velocity[2],waypoints[2].acceleration[0],waypoints[2].acceleration[1],waypoints[2].acceleration[2],waypoints[2].yaw,waypoints[2].yaw_speed,waypoints[2].point_valid,waypoints[2]._padding0[0],waypoints[2]._padding0[1],waypoints[2]._padding0[2],waypoints[3].timestamp,waypoints[3].position[0],waypoints[3].position[1],waypoints[3].position[2],waypoints[3].velocity[0],waypoints[3].velocity[1],waypoints[3].velocity[2],waypoints[3].acceleration[0],waypoints[3].acceleration[1],waypoints[3].acceleration[2],waypoints[3].yaw,waypoints[3].yaw_speed,waypoints[3].point_valid,waypoints[3]._padding0[0],waypoints[3]._padding0[1],waypoints[3]._padding0[2],waypoints[4].timestamp,waypoints[4].position[0],waypoints[4].position[1],waypoints[4].position[2],waypoints[4].velocity[0],waypoints[4].velocity[1],waypoints[4].velocity[2],waypoints[4].acceleration[0],waypoints[4].acceleration[1],waypoints[4].acceleration[2],waypoints[4].yaw,waypoints[4].yaw_speed,waypoints[4].point_valid,waypoints[4]._padding0[0],waypoints[4]._padding0[1],waypoints[4]._padding0[2]
175523886,0,0,0,0,0,0,0,0,0,nan,nan,-0.97488964,nan,nan,-0.97488964,nan,nan,-0.97488964,2.98248,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175531733,0,0,0,0,0,0,0,0,0,nan,nan,-0.9750659,nan,nan,-0.9750659,nan,nan,-0.9750659,2.982479,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175540246,0,0,0,0,0,0,0,0,0,nan,nan,-0.9752434,nan,nan,-0.9752434,nan,nan,-0.9752434,2.982478,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175548307,0,0,0,0,0,0,0,0,0,nan,nan,-0.9756302,nan,nan,-0.9756302,nan,nan,-0.9756302,2.9824798,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175555596,0,0,0,0,0,0,0,0,0,nan,nan,-0.97600955,nan,nan,-0.97600955,nan,nan,-0.97600955,2.982493,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175564205,0,0,0,0,0,0,0,0,0,nan,nan,-0.9763835,nan,nan,-0.9763835,nan,nan,-0.9763835,2.9825072,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175572210,0,0,0,0,0,0,0,0,0,nan,nan,-0.97679263,nan,nan,-0.97679263,nan,nan,-0.97679263,2.9825182,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175579637,0,0,0,0,0,0,0,0,0,nan,nan,-0.9771962,nan,nan,-0.9771962,nan,nan,-0.9771962,2.9825227,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175588308,0,0,0,0,0,0,0,0,0,nan,nan,-0.97759503,nan,nan,-0.97759503,nan,nan,-0.97759503,2.982528,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
175596196,0,0,0,0,0,0,0,0,0,nan,nan,-0.9780684,nan,nan,-0.9780684,nan,nan,-0.9780684,2.9825354,nan,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0
