timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
310020828,32767,32767,32767,32767,32767,32767,32767,32767
310025626,32767,32767,-491,32767,32767,-66,32767,32767
310066422,32767,32767,32767,32767,32767,32767,32767,32767
310070422,32767,32767,32767,32767,32767,32767,32767,32767
310074421,32767,32767,32767,32767,32767,32767,32767,32767
310078421,32767,32767,32767,32767,-63,-89,32767,32767
310082421,32767,32767,32767,32767,32767,32767,32767,32767
310086421,32767,32767,32767,32767,32767,32767,32767,32767
310090421,32767,32767,32767,32767,-67,32767,32767,32767
310094427,32767,-17,32767,32767,32767,32767,32767,32767
310098421,32767,32767,32767,32767,-44,-54,32767,32767
310102421,32767,32767,32767,32767,32767,32767,32767,32767
310106458,32767,32767,32767,32767,32767,32767,32767,32767
310110421,32767,32767,32767,32767,32767,32767,32767,32767
310114427,32767,32767,32767,32767,32767,32767,32767,32767
310118421,32767,32767,32767,32767,-50,32767,32767,32767
310122422,32767,32767,32767,32767,32767,-53,32767,32767
310126424,32767,-17,32767,32767,32767,32767,32767,32767
310130421,32767,32767,32767,32767,-54,32767,32767,32767
310134427,32767,32767,32767,32767,32767,32767,32767,32767
310138421,32767,32767,32767,32767,32767,32767,32767,32767
310142421,32767,32767,32767,32767,-73,32767,32767,32767
310146421,32767,32767,32767,32767,32767,-52,32767,32767
310150428,32767,32767,32767,32767,32767,32767,32767,32767
310154427,32767,32767,32767,32767,32767,32767,32767,32767
310158421,32767,-23,32767,32767,32767,32767,32767,32767
310162421,32767,32767,32767,32767,-58,32767,32767,32767
310166422,32767,32767,32767,32767,32767,32767,32767,32767
310170460,32767,32767,32767,32767,32767,32767,32767,32767
310174421,32767,32767,32767,32767,-73,-90,32767,32767
310178422,32767,32767,32767,32767,32767,32767,32767,32767
310182421,32767,32767,32767,32767,-50,32767,32767,32767
310186427,32767,32767,32767,32767,32767,32767,32767,32767
310190457,32767,-15,32767,32767,32767,32767,32767,32767
310194422,32767,32767,-58,32767,32767,-53,32767,32767
310198422,32767,32767,32767,32767,32767,32767,32767,32767
310202422,32767,32767,32767,32767,32767,32767,32767,32767
310206422,32767,32767,32767,32767,-70,32767,32767,32767
310210459,32767,32767,32767,32767,32767,32767,32767,32767
310214421,32767,32767,32767,32767,-50,32767,32767,32767
310218422,32767,32767,32767,32767,32767,-59,32767,32767
