timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
29535075,32767,32767,32767,32767,32767,32767,32767
29539076,32767,32767,32767,32767,32767,-40,32767
29543087,32767,32767,32767,32767,32767,32767,32767
29547071,32767,32767,32767,32767,32767,32767,32767
29551101,32767,32767,32767,32767,-66,-65,32767
29555076,32767,32767,32767,32767,32767,32767,32767
29559110,32767,32767,32767,32767,-49,-41,32767
29563069,32767,32767,32767,32767,32767,32767,32767
29567080,32767,32767,32767,32767,32767,32767,32767
29571075,32767,32767,32767,32767,-60,-64,32767
29575075,32767,32767,32767,32767,32767,32767,32767
29579076,32767,32767,32767,32767,32767,-40,32767
29583070,32767,32767,32767,32767,32767,32767,32767
29587076,32767,32767,32767,32767,32767,32767,32767
29591068,32767,32767,32767,32767,-40,-72,32767
29595081,32767,32767,32767,32767,32767,32767,32767
29599069,32767,32767,32767,32767,32767,-40,32767
29603069,32767,32767,32767,32767,-50,32767,32767
29607101,32767,32767,32767,32767,32767,32767,32767
29611069,32767,32767,32767,32767,32767,-72,32767
29615075,32767,32767,32767,32767,-60,32767,32767
29619075,32767,32767,32767,32767,32767,-40,32767
29623087,32767,32767,32767,32767,32767,32767,32767
29627068,32767,32767,32767,32767,32767,32767,32767
29631070,32767,32767,32767,32767,32767,-72,32767
29635079,32767,32767,32767,32767,-50,32767,32767
29639069,32767,32767,32767,32767,32767,-40,32767
29643085,32767,32767,-50,32767,32767,32767,32767
29647069,32767,32767,32767,32767,-60,32767,32767
29651068,32767,32767,32767,32767,32767,-64,32767
29655107,32767,32767,32767,32767,32767,32767,32767
29659069,32767,32767,32767,32767,-70,-40,32767
29663077,32767,32767,32767,32767,32767,32767,32767
29667087,32767,32767,32767,32767,32767,32767,32767
29671068,32767,32767,32767,32767,32767,-72,32767
29675110,32767,32767,32767,32767,32767,32767,32767
29679069,32767,32767,32767,32767,-60,32767,32767
29683087,32767,32767,32767,32767,32767,32767,32767
29687069,32767,32767,32767,32767,32767,32767,32767
29691102,32767,32767,32767,32767,-71,-73,32767
29695120,32767,32767,32767,32767,32767,32767,32767
29699069,32767,32767,32767,32767,-40,-64,32767
29703107,32767,32767,32767,32767,32767,32767,32767
29707087,32767,32767,32767,32767,32767,-40,32767
29711069,32767,32767,32767,32767,32767,32767,32767
29715105,32767,32767,32767,32767,32767,32767,32767
29719101,32767,32767,32767,32767,32767,-65,32767
29723075,32767,32767,32767,32767,-70,32767,32767
29727114,32767,32767,32767,32767,32767,-41,32767
29731068,32767,32767,32767,32767,32767,32767,32767
29735068,32767,32767,32767,32767,-65,32767,32767
29739076,32767,32767,32767,32767,32767,-64,32767
29743076,32767,32767,32767,32767,-36,32767,32767
29747071,32767,32767,32767,32767,32767,-40,32767
29751069,32767,32767,32767,32767,32767,32767,32767
29755068,32767,32767,32767,32767,32767,32767,32767
29759069,32767,32767,32767,32767,32767,-64,32767
29763083,32767,32767,32767,32767,32767,32767,32767
29767068,32767,32767,32767,32767,-68,-40,32767
29771087,32767,32767,32767,32767,32767,32767,32767
29775101,32767,32767,32767,32767,32767,32767,32767
29779070,32767,32767,32767,32767,-72,-64,32767
29783107,32767,32767,32767,32767,32767,32767,32767
29787070,32767,32767,32767,32767,-50,-40,32767
29791103,32767,32767,32767,32767,32767,32767,32767
29795068,32767,32767,32767,32767,32767,32767,32767
29799076,32767,32767,32767,32767,32767,-56,32767
29803083,32767,32767,32767,32767,32767,32767,32767
29807069,32767,32767,32767,32767,32767,-40,32767
29811108,32767,32767,32767,32767,-71,32767,32767
