timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
29591254,0.0,-0.0,2.0995426,0.0,0.49776942,0.0,0.0,0.86730945,0.0,0.0,-0.08,1,0,0,0,0,0
29691337,0.0,-0.0,2.1000412,0.0,0.4975532,0.0,0.0,0.8674334,0.0,0.0,-0.08,1,0,0,0,0,0
29795312,0.0,-0.0,2.1004667,0.0,0.4973686,0.0,0.0,0.86753935,0.0,0.0,-0.08,1,0,0,0,0,0
29895316,0.0,-0.0,2.1009202,0.0,0.49717188,0.0,0.0,0.86765206,0.0,0.0,-0.08,1,0,0,0,0,0
29998452,0.0,-0.0,2.1016703,0.0,0.49684647,0.0,0.0,0.86783844,0.0,0.0,-0.08,1,0,0,0,0,0
30098483,0.0,-0.0,2.1011317,0.0,0.49708015,0.0,0.0,0.86770463,0.0,0.0,-0.08,1,0,0,0,0,0
30198555,0.0,-0.0,2.1014094,0.0,0.49695963,0.0,0.0,0.86777365,0.0,0.0,-0.08,1,0,0,0,0,0
30302509,0.0,-0.0,2.1021137,0.0,0.49665403,0.0,0.0,0.86794865,0.0,0.0,-0.08,1,0,0,0,0,0
30402485,0.0,-0.0,2.102231,0.0,0.49660313,0.0,0.0,0.86797774,0.0,0.0,-0.08,1,0,0,0,0,0
30506456,0.0,-0.0,2.1029837,0.0,0.49627644,0.0,0.0,0.86816454,0.0,0.0,-0.08,1,0,0,0,0,0
30605654,0.0,-0.0,2.1036046,0.0,0.4960069,0.0,0.0,0.86831856,0.0,0.0,-0.08,1,0,0,0,0,0
30709699,0.0,-0.0,2.1041224,0.0,0.49578205,0.0,0.0,0.86844695,0.0,0.0,-0.08,1,0,0,0,0,0
30813654,0.0,-0.0,2.1048875,0.0,0.4954498,0.0,0.0,0.8686366,0.0,0.0,-0.08,1,0,0,0,0,0
30913721,0.0,-0.0,2.1054807,0.0,0.49519214,0.0,0.0,0.8687835,0.0,0.0,-0.08,1,0,0,0,0,0
31017679,0.0,-0.0,2.1058707,0.0,0.4950227,0.0,0.0,0.86888003,0.0,0.0,-0.08,1,0,0,0,0,0
31117652,0.0,-0.0,2.1062908,0.0,0.4948402,0.0,0.0,0.868984,0.0,0.0,-0.08,1,0,0,0,0,0
