timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
29495077,-0.10159817,-0.16299996,0.3320412
29535066,-0.11751155,-0.15392327,0.33928108
29544671,-0.099785164,-0.16124591,0.32173344
29555067,-0.099785164,-0.16124591,0.32173344
29564668,-0.099785164,-0.16124591,0.32173344
29575066,-0.09982749,-0.18650743,0.33069944
29583867,-0.09632567,-0.14670786,0.33639866
29595072,-0.09804157,-0.15579991,0.32613072
29603867,-0.11391359,-0.1612306,0.3246116
29615066,-0.11039877,-0.15759991,0.3275542
29623867,-0.105085194,-0.16666128,0.32320905
29635070,-0.10693981,-0.164754,0.34233227
29644666,-0.09979889,-0.1539999,0.3246406
29655098,-0.10328618,-0.16850728,0.31586492
29663867,-0.09451338,-0.1738767,0.32624143
29683867,-0.09451338,-0.1738767,0.32624143
29692667,-0.10689802,-0.16118462,0.3334792
29703098,-0.10508528,-0.17027664,0.32322788
29712666,-0.10336976,-0.17564605,0.3335711
29723066,-0.101597734,-0.14492318,0.33194712
29732666,-0.096298136,-0.1575846,0.33056557
29743067,-0.105141066,-0.17744605,0.33504456
29752667,-0.08922699,-0.15759991,0.32765415
29763074,-0.099799424,-0.17569202,0.3247535
29772667,-0.101528585,-0.15946123,0.3172986
29783098,-0.09091515,-0.17033795,0.31151545
29793467,-0.09091515,-0.17033795,0.31151545
29803074,-0.10514071,-0.16298462,0.33496928
29811867,-0.09979871,-0.14676917,0.32460296
29823099,-0.09628424,-0.15759991,0.32762083
29831867,-0.08745603,-0.17026132,0.32625595
29843078,-0.094485305,-0.16306126,0.32029545
29851867,-0.11741406,-0.14679982,0.31863016
29863087,-0.105057396,-0.16669193,0.31731954
29871867,-0.108655885,-0.18107675,0.33210197
29883066,-0.09981324,-0.17206132,0.32767943
29891889,-0.09454109,-0.17023067,0.33211213
29902266,-0.106856406,-0.16484596,0.32466373
29911884,-0.106856406,-0.16484596,0.32466373
29922267,-0.10682887,-0.17572267,0.31883064
29931112,-0.09806928,-0.15215388,0.33200142
29942285,-0.1033277,-0.1612306,0.32466158
29951099,-0.110343345,-0.16489193,0.3158128
29962268,-0.1015841,-0.15578458,0.32905883
29971890,-0.10866898,-0.14852321,0.33487737
29982272,-0.10331353,-0.15039983,0.32166034
29991073,-0.094568804,-0.16658466,0.33798283
30002266,-0.11039859,-0.15036918,0.3275166
30011067,-0.10684277,-0.17570734,0.3217754
30020667,-0.10684277,-0.17570734,0.3217754
30031067,-0.10684277,-0.17570734,0.3217754
30039867,-0.10154248,-0.15944591,0.32024333
30050266,-0.1139552,-0.15756927,0.33342704
30059888,-0.09806955,-0.16299996,0.33205786
30070266,-0.10684268,-0.17209198,0.32175657
30079865,-0.10862764,-0.16303061,0.32611838
30090266,-0.09627043,-0.1612306,0.3246949
30099869,-0.10687031,-0.16483063,0.3276085
30110284,-0.1139274,-0.15759991,0.32753754
30119912,-0.11038469,-0.15038452,0.32457182
30130308,-0.10155656,-0.16666128,0.3232257
30139895,-0.10509901,-0.16303061,0.32613504
30150267,-0.10509901,-0.16303061,0.32613504
30159067,-0.1051408,-0.16659997,0.33498812
30170266,-0.106856495,-0.16846131,0.32468253
30179067,-0.105127074,-0.17384605,0.332081
30190266,-0.09627034,-0.15761524,0.32467607
30199067,-0.1103715,-0.1793227,0.32177755
30210266,-0.11740043,-0.15766121,0.31574184
30219067,-0.10335559,-0.1648153,0.3305699
30230266,-0.09091515,-0.17033795,0.31151545
30239067,-0.115685254,-0.17749204,0.3261603
30250266,-0.11211457,-0.16307658,0.31726742
30259075,-0.11211457,-0.16307658,0.31726742
30278288,-0.089255236,-0.17564605,0.3336377
30287884,-0.106842235,-0.15401521,0.32166252
30298291,-0.11922726,-0.15578458,0.32897553
30307890,-0.09627052,-0.16484596,0.3247137
30318266,-0.1068425,-0.16486128,0.32171896
30327868,-0.105099455,-0.1811074,0.3262291
30338274,-0.10511273,-0.15578458,0.32904217
30347895,-0.09978534,-0.16847663,0.3217711
30358277,-0.10335541,-0.1575846,0.33053228
30367889,-0.11572642,-0.15575393,0.3348817
30378267,-0.11572642,-0.15575393,0.3348817
30388683,-0.11572642,-0.15575393,0.3348817
30398266,-0.10864136,-0.15578458,0.3290255
30407066,-0.09984059,-0.15395392,0.33347487
30418266,-0.110370785,-0.15039983,0.32162702
30427067,-0.10335506,-0.14312315,0.330457
30438266,-0.09981315,-0.16844597,0.32766062
30447094,-0.10332761,-0.15761524,0.32464275
30457466,-0.10682869,-0.16849196,0.318793
30467078,-0.098097,-0.1485079,0.33787212
30477466,-0.0945549,-0.16659997,0.33503807
30487067,-0.10334151,-0.15759991,0.32758752
30507067,-0.10334151,-0.15759991,0.32758752
30517466,-0.10514062,-0.15936927,0.33495048
30526267,-0.09628442,-0.16483063,0.32765844
30536713,-0.11041284,-0.1648153,0.33053657
30546267,-0.10685614,-0.1539999,0.32460728
30556712,-0.11039886,-0.16121526,0.327573
30566267,-0.10865544,-0.16299996,0.33200788
30577467,-0.10516878,-0.17380007,0.34091523
30586266,-0.094499476,-0.17389202,0.32329667
30597519,-0.103272006,-0.15767655,0.31286368
30606267,-0.105043225,-0.1558612,0.31431836
30615867,-0.105043225,-0.1558612,0.31431836
30626278,-0.105043225,-0.1558612,0.31431836
30635067,-0.1280144,-0.16847663,0.3216378
30645466,-0.09984095,-0.16841534,0.33355013
30655067,-0.10159817,-0.16299996,0.3320412
30665466,-0.09806982,-0.17384605,0.3321143
30675066,-0.09627052,-0.16484596,0.3247137
30685466,-0.10334178,-0.16844597,0.32764396
30695127,-0.101570554,-0.17026132,0.3261893
30705466,-0.11214228,-0.15943058,0.32313812
30715085,-0.09272781,-0.15763056,0.32174796
30725466,-0.096256435,-0.15763056,0.3217313
30735867,-0.096256435,-0.15763056,0.3217313
30745499,-0.096256435,-0.15763056,0.3217313
30754266,-0.11217035,-0.17024599,0.3290841
30765498,-0.106842324,-0.15763056,0.32168132
30774267,-0.09627043,-0.1612306,0.3246949
30785482,-0.1103715,-0.1793227,0.32177755
30794266,-0.09092905,-0.17032261,0.31446025
30805482,-0.1033555,-0.16119994,0.3305511
30814267,-0.10682842,-0.1576459,0.31873655
30825485,-0.09984086,-0.16479999,0.33353132
30834267,-0.11396901,-0.15393859,0.336353
30845472,-0.108599566,-0.15221518,0.3201724
30854267,-0.108599566,-0.15221518,0.3201724
30873467,-0.10865517,-0.15215388,0.33195144
30883074,-0.098028205,-0.17750736,0.3232988
30893509,-0.08740061,-0.17755333,0.31451452
30903090,-0.124485575,-0.16124591,0.32161686
30913498,-0.101570286,-0.15941526,0.32613286
30923099,-0.11039877,-0.15759991,0.3275542
30933494,-0.103272095,-0.1612919,0.3128825
30943067,-0.09981315,-0.16844597,0.32766062
30953483,-0.09981253,-0.14313847,0.32752892
30963067,-0.10505722,-0.15946123,0.31728193
30973498,-0.10505722,-0.15946123,0.31728193
30983889,-0.10505722,-0.15946123,0.31728193
30993466,-0.1086133,-0.14496915,0.32307953
31002267,-0.10864199,-0.18109207,0.3291572
31012666,-0.0927279,-0.16124591,0.32176676
31022267,-0.110399306,-0.17929205,0.3276671
31032672,-0.101598084,-0.15938461,0.33202237
31042277,-0.10682824,-0.15041517,0.31869894
31052666,-0.101528585,-0.15946123,0.3172986
31062267,-0.105057485,-0.1703073,0.31733838
31072666,-0.10511327,-0.1774767,0.32915506
31082267,-0.09098448,-0.16303061,0.32620165
31092667,-0.09098448,-0.16303061,0.32620165
31102280,-0.09098448,-0.16303061,0.32620165
31112667,-0.0909704,-0.15581523,0.32321924
31121487,-0.11568437,-0.14133847,0.32597217
31132666,-0.11218443,-0.17746139,0.33206648
31141467,-0.10155629,-0.15581523,0.32316926
31152666,-0.10336922,-0.15395392,0.33345821
31161471,-0.1033555,-0.16119994,0.3305511
31172666,-0.11748356,-0.1467232,0.33335397
31181467,-0.10688438,-0.172046,0.33059087
31192666,-0.10155638,-0.15943058,0.3231881
31201467,-0.10155647,-0.16304593,0.3232069
31211074,-0.10155647,-0.16304593,0.3232069
31221467,-0.10155647,-0.16304593,0.3232069
31230266,-0.1050712,-0.16306126,0.3202455
31240666,-0.119241245,-0.15938461,0.3319391
31250271,-0.101597995,-0.15576926,0.33200356
31260666,-0.11925506,-0.15575393,0.33486503
31270269,-0.108683154,-0.15935396,0.33787858
31280666,-0.10687031,-0.16483063,0.3276085
31290273,-0.115685344,-0.1811074,0.32617915
31300666,-0.09804184,-0.16664596,0.32618716
31310308,-0.09272799,-0.16486128,0.32178557
31320675,-0.09451302,-0.15941526,0.32616618
31331067,-0.09451302,-0.15941526,0.32616618
31340666,-0.09451302,-0.15941526,0.32616618
31349467,-0.09628451,-0.16844597,0.32767728
31360670,-0.10862782,-0.17026132,0.326156
31369475,-0.11041284,-0.1648153,0.33053657
31380666,-0.106898196,-0.16841534,0.3335168
31389470,-0.1139691,-0.15755394,0.3363718
31400666,-0.1050991,-0.16664596,0.32615384
31409473,-0.106884114,-0.16119994,0.33053443
31420684,-0.10330007,-0.16849196,0.31880966
31429473,-0.08567073,-0.16486128,0.3218189
31440690,-0.10509874,-0.15218453,0.3260786
31449473,-0.10509874,-0.15218453,0.3260786
31468666,-0.11742814,-0.15401521,0.32161254
31478274,-0.101570286,-0.15941526,0.32613286
31488666,-0.11568481,-0.15941526,0.32606626
31498267,-0.11569907,-0.17386137,0.32908624
31508666,-0.098028116,-0.17389202,0.32328
31518267,-0.112170085,-0.15939993,0.32902765
31528666,-0.096270606,-0.16846131,0.3247325
31538285,-0.11391386,-0.17207666,0.32466805
31548666,-0.117455944,-0.15398456,0.32750207
31558271,-0.11395565,-0.17564605,0.33352113
31568667,-0.11395565,-0.17564605,0.33352113
31579100,-0.11395565,-0.17564605,0.33352113
31587876,-0.09977135,-0.16487661,0.3188075
31597467,-0.10689811,-0.16479999,0.333498
31607866,-0.10687031,-0.16483063,0.3276085
31617466,-0.10684259,-0.16847663,0.32173777
31627866,-0.1016119,-0.15575393,0.33494833
31637467,-0.09629805,-0.15396924,0.33054677
31648666,-0.105043314,-0.15947655,0.31433716
31657467,-0.10864163,-0.16663063,0.32908195
31667866,-0.092714176,-0.16849196,0.31885964
31677466,-0.09806946,-0.15938461,0.33203903
31687867,-0.09806946,-0.15938461,0.33203903
31696667,-0.10163988,-0.16295397,0.34087545
31707866,-0.12097094,-0.16484596,0.3245971
31716666,-0.10514053,-0.15575393,0.33493167
31727915,-0.11391368,-0.16484596,0.3246304
31736667,-0.10158428,-0.16301528,0.32909644
31747904,-0.10335532,-0.15396924,0.33051345
31756685,-0.1068425,-0.16486128,0.32171896
31767915,-0.10865535,-0.15938461,0.33198908
31776709,-0.11218416,-0.1666153,0.33201003
31787868,-0.11214237,-0.16304593,0.32315692
31796713,-0.11394139,-0.16119994,0.3305011
31815867,-0.10862782,-0.17026132,0.326156
31825467,-0.101584636,-0.1774767,0.3291717
31835866,-0.1121838,-0.15215388,0.33193478
31845466,-0.115712784,-0.1666153,0.33199337
31855866,-0.11392749,-0.16121526,0.32755637
31865467,-0.10509874,-0.15218453,0.3260786
31875904,-0.113941655,-0.172046,0.33055755
31885467,-0.11048244,-0.16835403,0.3452792
31895865,-0.10507102,-0.15583056,0.32020786
31905466,-0.09984077,-0.16118462,0.33351249
31915905,-0.09984077,-0.16118462,0.33351249
31926267,-0.09984077,-0.16118462,0.33351249
31935887,-0.09978543,-0.17209198,0.3217899
31944691,-0.11039886,-0.16121526,0.327573
31955866,-0.10685632,-0.1612306,0.32464492
31964695,-0.10511291,-0.16301528,0.32907978
31975866,-0.10519631,-0.16292334,0.34674835
31984702,-0.11391386,-0.17207666,0.32466805
31995866,-0.11398327,-0.16838469,0.339373
32004674,-0.117414325,-0.1576459,0.3186866
32015866,-0.090970755,-0.17027664,0.3232945
32024672,-0.10155647,-0.16304593,0.3232069
32044667,-0.10155647,-0.16304593,0.3232069
32053467,-0.09806973,-0.17023067,0.33209547
32063872,-0.11391377,-0.16846131,0.32464924
32073467,-0.10509865,-0.1485692,0.32605976
32083878,-0.10512663,-0.15576926,0.3319869
32093467,-0.09802794,-0.16666128,0.32324237
32103866,-0.09808327,-0.15575393,0.334965
32115066,-0.10507129,-0.16667661,0.3202643
32123866,-0.09805601,-0.1774767,0.32918835
32135067,-0.09806964,-0.1666153,0.33207667
32143867,-0.10336958,-0.16841534,0.33353347
