timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
128088396,-2.911211,-2.911211,-2.987661,0.009592658,0.010185677,1,1
128188360,-2.9069955,-2.9069955,-2.9833581,0.010445335,0.011091244,1,1
129088360,-2.9105086,-2.9105086,-2.9869463,0.004494967,0.004773008,1,1
130088378,-2.8971097,-2.8971097,-2.9733403,0.0050643426,0.005377676,1,1
131088360,-2.897267,-2.897267,-2.973089,0.008982503,0.009538791,1,1
132088360,-2.8972669,-2.8972669,-2.9732425,0.020782152,0.022069737,1,1
133088407,-2.8972628,-2.8972628,-2.973442,0.03009548,0.031961646,1,1
134088362,-2.9113722,-2.9113722,-2.9876893,0.025607495,0.027196107,1,1
135088365,-2.9086192,-2.9086192,-2.984974,0.029176332,0.030987892,1,1
136088363,-2.9113204,-2.9113204,-2.9878595,0.04176573,0.044361237,1,1
137088363,-2.910766,-2.910766,-2.9870698,0.04595849,0.048815276,1,1
138088418,-2.8874686,-2.8874686,-2.9631603,0.045592964,0.048430048,1,1
139088365,-2.8992248,-2.8992248,-2.9756129,0.041401163,0.043979008,1,1
140088369,-2.907447,-2.907447,-2.9838305,0.032937206,0.034989122,1,1
141088522,-2.8773656,-2.8773656,-2.9528437,0.022680506,0.024094626,1,1
142088360,-2.8720553,-2.8720553,-2.9474282,0.00921014,0.009784793,1,1
145088360,-2.894355,-2.894355,-2.970412,0.014814852,0.01574139,1,1
146088360,-2.9063933,-2.9063933,-2.982682,0.021634437,0.02298865,1,1
147088360,-2.9193776,-2.9193776,-2.9962409,0.021628387,0.02298337,1,1
148088397,-2.890107,-2.890107,-2.9660907,0.024508456,0.026044976,1,1
149088363,-2.8934317,-2.8934317,-2.9696255,0.024282351,0.025805889,1,1
150088374,-2.8801425,-2.8801425,-2.956074,0.022648707,0.024070976,1,1
151088360,-2.8675911,-2.8675911,-2.9429588,0.021704188,0.023068452,1,1
152088363,-2.9346364,-2.9346364,-3.0116765,0.024327446,0.025857668,1,1
153088495,-2.9225686,-2.9225686,-2.999672,0.022014217,0.023400638,1,1
154088409,-2.8490665,-2.8490665,-2.9239676,0.020515645,0.021808533,1,1
