timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
128262203,1626771258800056,490896177,21103551,85246,131272,0.19600001,0.66079336,0.532,0.66700006,0.62,0.88,98,7,0.017,0.008,0.015000001,-0.011000001,5.3317003,0,nan,0.0,4,1,18
128463461,1626771259000056,490896177,21103552,85238,131264,0.178,0.6608007,0.53000003,0.66400003,0.62,0.88,98,7,0.003,-0.002,0.002,0.0,5.3317003,0,nan,0.0,4,1,18
128668200,1626771259200056,490896177,21103552,85225,131251,0.21200001,0.66080934,0.528,0.661,0.62,0.88,98,7,0.023000002,0.023000002,0.002,-0.017,5.3317003,0,nan,0.0,4,1,18
128862234,1626771259400056,490896179,21103552,85242,131268,0.208,0.6608181,0.527,0.66,0.62,0.88,98,7,0.019000001,-0.019000001,0.003,0.012,5.3317003,0,nan,0.0,4,1,18
129062218,1626771259600056,490896179,21103552,85242,131267,0.16000001,0.6608248,0.52500004,0.65900004,0.62,0.88,98,7,0.055000003,-0.05,-0.022000002,-0.014,5.3317003,0,nan,0.0,4,1,18
129262166,1626771259800056,490896179,21103551,85219,131245,0.16700001,0.6608317,0.52400005,0.65800005,0.62,0.88,98,7,0.026,0.023000002,0.011000001,0.020000001,5.3317003,0,nan,0.0,4,1,18
129462145,1626771260000056,490896179,21103552,85222,131248,0.16900001,0.6608387,0.523,0.656,0.62,0.88,98,7,0.045,-0.043,-0.011000001,-0.013,5.3317003,0,nan,0.0,4,1,18
129662196,1626771260200056,490896179,21103551,85213,131239,0.22500001,0.66084796,0.521,0.65400004,0.62,0.88,98,7,0.055000003,0.051000003,0.020000001,-0.058000002,5.3317003,0,nan,0.0,4,1,18
129862162,1626771260400056,490896180,21103551,85202,131228,0.22600001,0.6608574,0.51900005,0.651,0.62,0.88,98,7,0.07700001,-0.062000003,-0.045,0.094000004,5.3317003,0,nan,0.0,4,1,18
130062164,1626771260600056,490896179,21103550,85181,131207,0.22200002,0.6608666,0.518,0.65000004,0.62,0.88,98,7,0.019000001,0.004,0.018000001,-0.037,5.3317003,0,nan,0.0,4,1,18
130262218,1626771260800055,490896180,21103550,85208,131233,0.19600001,0.66087466,0.518,0.648,0.62,0.88,98,7,0.007,0.003,-0.007,0.015000001,5.3317003,0,nan,0.0,4,1,18
130467524,1626771261000055,490896180,21103549,85203,131228,0.17,0.66088164,0.517,0.646,0.66999996,0.90999997,98,7,0.031000001,0.0,-0.031000001,0.012,5.3317003,0,nan,0.0,4,1,17
130658245,1626771261200055,490896181,21103549,85209,131234,0.201,0.66089,0.517,0.646,0.66999996,0.90999997,98,7,0.018000001,0.017,0.0050000004,0.034,5.3317003,0,nan,0.0,4,1,17
130853487,1626771261400055,490896183,21103548,85209,131235,0.192,0.66089803,0.51600003,0.64500004,0.66999996,0.90999997,98,7,0.035,0.008,-0.034,0.023000002,5.3317003,0,nan,0.0,4,1,17
131062302,1626771261600055,490896184,21103548,85221,131247,0.23500001,0.6609078,0.51600003,0.64400005,0.66999996,0.90999997,98,7,0.031000001,-0.012,-0.028,0.063,5.3317003,0,nan,0.0,4,1,17
131262436,1626771261800055,490896186,21103547,85234,131260,0.23500001,0.6609176,0.51500005,0.64400005,0.66999996,0.90999997,98,7,0.026,0.024,0.009000001,-0.037,5.3317003,0,nan,0.0,4,1,17
131462429,1626771262000055,490896187,21103547,85243,131269,0.22800002,0.660927,0.514,0.642,0.66999996,0.90999997,98,7,0.003,0.001,0.003,-0.012,5.3317003,0,nan,0.0,4,1,17
