timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
128204875,15264851,49.0896256,2.1103528,-0.88600093,0.1385434,-0.5526854,0.0007406403,-0.003378704,0.0,-0.0014798865,-0.009738634,-0.0043934565,0.015248032,0.0024132254,-0.020157471,0.022179201,0.017100597,0.033088066,-0.020673653,0.64736575,-0.0019224319,85.56228,0.1,0.2426741,0.391688,0.12861435,0.105282806,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
128304852,15264851,49.0896256,2.1103528,-0.88727707,0.13958868,-0.55419904,0.0007406403,-0.003378704,0.0,-0.0029639541,-0.0071937554,-0.0028512897,0.013717699,0.0024132254,-0.020157471,0.022179201,-0.007173654,0.0018338157,0.027758198,0.6474654,-0.0019224319,85.56228,0.1,0.251575,0.39347893,0.13313702,0.106683865,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
128404848,15264851,49.0896256,2.1103528,-0.88768166,0.1418822,-0.55584484,0.0007406403,-0.003378704,0.0,-0.002486126,-0.007624591,-0.0065164464,0.0072057126,0.0024132254,-0.020157471,0.022179201,0.020659445,-0.053883076,0.007936169,0.6473543,-0.0019224319,85.56228,0.1,0.24211882,0.39088142,0.12851253,0.10518978,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
128504848,15264851,49.0896256,2.1103528,-0.887868,0.14334105,-0.557432,0.0007406403,-0.003378704,0.0,-0.0039952737,-0.006752597,-0.0024089895,0.008980801,0.0024132254,-0.020157471,0.022179201,-0.006584618,0.07323204,0.12695995,0.6479626,-0.0019224319,85.56228,0.1,0.25100806,0.392663,0.1330297,0.10658814,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
128604848,15264851,49.0896256,2.1103528,-0.88802093,0.14549044,-0.5584107,0.0007406403,-0.003378704,0.0,-0.0054359795,-0.0044111894,-0.003218913,0.006286734,0.0024132254,-0.020157471,0.022179201,-0.047752447,0.026115581,-0.13893276,0.6477797,-0.0019224319,85.56228,0.1,0.24155824,0.3925379,0.12842229,0.10536561,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
128704871,15264851,49.0896256,2.1103528,-0.8881017,0.14733526,-0.55948484,0.0007406403,-0.003378704,0.0,-0.0018291663,-0.0013050004,-0.0058686445,0.0024012804,0.0024132254,-0.020157471,0.022179201,0.05072548,0.0008280024,0.12816466,0.64690244,-0.0019224319,85.56228,0.1,0.25043774,0.39435273,0.13292612,0.10677368,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
128804850,15264851,49.0896256,2.1103528,-0.8867268,0.14967994,-0.56077224,0.0007406403,-0.003378704,0.0,-0.0019968492,-0.001541286,-0.004889184,0.0016473405,0.0024132254,-0.020157471,0.022179201,-0.021309873,0.019327933,-0.12667648,0.64734495,-0.0019224319,85.56228,0.1,0.24099417,0.39175072,0.12833965,0.10527927,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
128904884,15264851,49.0896256,2.1103528,-0.8857245,0.15148494,-0.56175727,0.0007406403,-0.003378704,0.0,-0.0020299794,0.0007089397,-0.005372706,0.00039630805,0.0024132254,-0.020157471,0.022179201,0.08764874,0.03290484,0.10285174,0.6472967,-0.0019224319,85.56228,0.1,0.24986613,0.39354774,0.13284981,0.106682405,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
129004851,15264851,49.0896256,2.1103528,-0.8847423,0.15379314,-0.5607444,0.0007406403,-0.003378704,0.0,-0.0010814548,0.00067871634,-0.00927502,-0.0024114659,0.0024132254,-0.020157471,0.022179201,-0.042712525,-0.05263669,-0.086054794,0.6473792,-0.0019224319,85.56228,0.10287842,0.24047354,0.39096335,0.12827258,0.10519239,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
129104886,15264851,49.0896256,2.1103528,-0.8840642,0.15533014,-0.55955607,0.0007406403,-0.003378704,0.0,0.00073359953,0.00017698976,-0.0048906906,0.0032564476,0.0024132254,-0.020157471,0.022179201,0.03291034,0.024144357,-0.057625387,0.6476489,-0.0019224319,85.56228,0.1026223,0.24934039,0.39275962,0.13278623,0.106594995,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
