timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
68282350,0.9553526,-0.007370231,0.0009256575,0.29537502,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68287391,0.95535046,-0.0073829107,0.000921134,0.29538155,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68292396,0.9553487,-0.0073939534,0.0009152751,0.29538697,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68297347,0.9553472,-0.0074046585,0.0009059781,0.2953914,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68302347,0.9553451,-0.0074157775,0.0008990015,0.29539782,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68307347,0.95534515,-0.0074242577,0.00089762785,0.29539782,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68312397,0.9553448,-0.007437111,0.00089335156,0.29539853,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68317356,0.95534474,-0.00744706,0.00088813173,0.2953985,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68322347,0.9553444,-0.0074562435,0.0008831333,0.29539916,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68327351,0.9553446,-0.0074600913,0.00088012137,0.29539853,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68332411,0.9553449,-0.007463827,0.00087717525,0.29539737,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68337347,0.95534325,-0.0074732425,0.0008768392,0.2954025,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68342347,0.9553424,-0.0074791675,0.00087378226,0.29540542,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68347350,0.9553422,-0.007487398,0.0008722858,0.29540557,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68352396,0.9553441,-0.0074969386,0.00086826546,0.2953996,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68357349,0.95534533,-0.0075071603,0.00086647563,0.29539496,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
68362356,0.9553458,-0.0075072926,0.000865575,0.29539338,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
