timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
68330595,1626772157000275,490896161,21103764,85844,131870,0.23600002,0.5869554,0.59400004,0.90300006,0.66999996,1.0699999,82,9,0.019000001,0.012,-0.015000001,0.045,0.29583067,0,nan,0.0,3,1,16
68530664,1626772157200275,490896161,21103763,85860,131886,0.21100001,0.5869654,0.592,0.90000004,0.66999996,1.0699999,82,9,0.082,-0.076000005,-0.032,0.064,0.29583067,0,nan,0.0,3,1,16
68730603,1626772157400275,490896161,21103763,85869,131895,0.178,0.5869736,0.58900005,0.897,0.66999996,1.0699999,82,9,0.068,0.045,0.05,0.037,0.29583067,0,nan,0.0,3,1,16
68929497,1626772157600275,490896160,21103763,85894,131920,0.23,0.5869844,0.586,0.89300007,0.66999996,1.0699999,82,9,0.045,-0.026,-0.037,0.07700001,0.29583067,0,nan,0.0,3,1,16
69134584,1626772157800275,490896161,21103762,85903,131928,0.208,0.586994,0.58400005,0.89000005,0.66999996,1.0699999,82,8,0.024,0.012,-0.021000002,-0.031000001,0.29583067,0,nan,0.0,3,1,16
69334661,1626772158000274,490896161,21103760,85898,131924,0.177,0.5870024,0.58100003,0.887,0.66999996,1.0699999,82,8,0.036000002,0.025,-0.027,0.026,0.29583067,0,nan,0.0,3,1,16
69535084,1626772158200274,490896162,21103759,85911,131937,0.23400001,0.5870132,0.57900006,0.88400006,0.66999996,1.0699999,82,8,0.018000001,0.006,-0.017,0.058000002,0.29583067,0,nan,0.0,3,1,16
69730220,1626772158400274,490896162,21103759,85945,131970,0.17600001,0.5870214,0.57600003,0.87900007,0.66999996,1.0699999,82,8,0.035,-0.001,0.035,0.021000002,0.29583067,0,nan,0.0,3,1,16
69929580,1626772158600274,490896162,21103759,85957,131983,0.21300001,0.58703136,0.573,0.87500006,0.66999996,1.0699999,82,8,0.019000001,0.019000001,-0.002,-0.021000002,0.29583067,0,nan,0.0,3,1,16
70135976,1626772158800274,490896163,21103759,85977,132003,0.208,0.58704114,0.57000005,0.87100005,0.66999996,1.0699999,83,9,0.012,0.003,-0.011000001,0.022000002,0.29583067,0,nan,0.0,3,1,16
