timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
68282350,32767,32767,32767,32767,32767,32767
68287391,32767,32767,32767,32767,32767,32767
68292396,-41,32767,32767,32767,32767,32767
68297347,32767,32767,32767,32767,-14,32767
68302347,-33,32767,32767,32767,32767,32767
68307347,32767,32767,32767,32767,32767,32767
68312397,-26,32767,32767,32767,32767,32767
68317356,32767,32767,32767,32767,-14,32767
68322347,-19,32767,32767,-15,32767,32767
68327351,32767,32767,32767,32767,32767,32767
68332411,-13,32767,32767,32767,32767,32767
68337347,32767,32767,32767,32767,-14,32767
68342347,-5,32767,32767,32767,32767,32767
68347350,32767,32767,32767,32767,32767,32767
68352396,2,32767,32767,32767,32767,32767
68357349,32767,32767,32767,32767,-14,32767
68362356,32767,32767,32767,32767,32767,32767
68367347,-41,32767,32767,32767,32767,32767
68372375,32767,32767,32767,-12,32767,32767
68377350,-33,32767,32767,32767,-14,32767
68382391,32767,32767,32767,32767,32767,32767
68387347,-26,32767,32767,32767,32767,32767
68392383,32767,32767,32767,32767,32767,32767
68397350,-18,32767,32767,32767,-14,32767
68402347,32767,32767,32767,32767,32767,32767
68407347,-11,32767,32767,32767,32767,32767
68412353,32767,32767,32767,32767,32767,32767
68417360,-3,32767,32767,32767,-14,32767
68422355,32767,32767,32767,-5,32767,32767
68427349,4,32767,32767,32767,32767,32767
68432359,32767,32767,32767,32767,32767,32767
68437349,32767,32767,32767,32767,-14,32767
68442347,-39,32767,32767,32767,32767,32767
68447357,32767,32767,32767,32767,32767,32767
68452393,-32,32767,32767,32767,32767,32767
68457366,32767,32767,32767,32767,-14,32767
68462383,-25,32767,32767,32767,32767,32767
68467388,32767,32767,32767,32767,32767,32767
68472356,-17,32767,32767,32767,32767,32767
68477349,32767,32767,32767,32767,-14,32767
68482347,-10,32767,32767,-3,32767,32767
68487349,32767,32767,32767,32767,32767,32767
68492371,-3,32767,32767,32767,32767,32767
68497392,32767,32767,32767,32767,-14,32767
68502401,3,32767,32767,32767,32767,32767
68507394,32767,32767,32767,32767,32767,32767
68512383,32767,32767,32767,32767,32767,32767
68517377,-39,32767,32767,32767,-14,32767
68522407,32767,32767,32767,32767,32767,32767
68527366,-32,32767,32767,32767,32767,32767
68532431,32767,32767,32767,0,32767,32767
68537376,-24,32767,32767,32767,-14,32767
68542453,32767,32767,32767,32767,32767,32767
68547390,-17,32767,32767,32767,32767,32767
68552380,32767,32767,32767,32767,32767,32767
68557380,-10,32767,32767,32767,-14,32767
68562350,32767,32767,32767,32767,32767,32767
68567353,-3,32767,32767,32767,32767,32767
68572381,32767,32767,32767,32767,32767,32767
68577354,6,32767,32767,32767,-14,32767
68582355,32767,32767,32767,3,32767,32767
68587347,32767,32767,32767,32767,32767,32767
68592406,-37,32767,32767,32767,32767,32767
68597349,32767,32767,32767,32767,-14,32767
68602394,-29,32767,32767,32767,32767,32767
68607347,32767,32767,32767,32767,32767,32767
68612399,-22,32767,32767,32767,32767,32767
68617349,32767,32767,32767,32767,-14,32767
68622347,-15,32767,32767,32767,32767,32767
68627347,32767,32767,32767,32767,32767,32767
68632396,-8,32767,32767,32767,32767,32767
68637349,32767,32767,32767,32767,-13,32767
68642349,0,32767,32767,7,32767,32767
68647347,32767,32767,32767,32767,32767,32767
68652402,7,32767,32767,32767,32767,32767
68657349,32767,32767,32767,32767,-14,32767
68662347,32767,32767,32767,32767,32767,32767
68667355,-35,32767,32767,32767,32767,32767
68672396,32767,32767,32767,32767,32767,32767
68677349,-28,32767,32767,32767,-13,32767
68682356,32767,32767,32767,32767,32767,32767
68687349,-21,32767,32767,32767,32767,32767
68692396,32767,32767,32767,9,32767,32767
68697349,-14,32767,32767,32767,-14,32767
68702347,32767,32767,32767,32767,32767,32767
68707392,-7,32767,32767,32767,32767,32767
68712396,32767,32767,32767,32767,32767,32767
68717356,0,32767,32767,32767,-14,32767
68722347,32767,32767,32767,32767,32767,32767
68727354,32767,32767,32767,32767,32767,32767
68732396,-43,32767,32767,32767,32767,32767
68737349,32767,32767,32767,32767,-14,32767
68742347,-35,32767,32767,32767,32767,32767
68747347,32767,32767,32767,-27,32767,32767
68752396,-28,32767,32767,32767,32767,32767
68757349,32767,32767,32767,32767,-14,32767
68762347,-19,32767,32767,32767,32767,32767
68767355,32767,32767,32767,32767,32767,32767
68772396,-11,32767,32767,32767,32767,32767
68777349,32767,32767,32767,32767,-14,32767
68782347,-4,32767,32767,32767,32767,32767
68787347,32767,32767,32767,32767,32767,32767
68792401,3,32767,32767,32767,32767,32767
68797349,32767,32767,32767,32767,-14,32767
68802351,32767,32767,32767,32767,32767,32767
68807347,-39,32767,32767,-29,32767,32767
68812396,32767,32767,32767,32767,32767,32767
68817349,-31,32767,32767,32767,-13,32767
68822347,32767,32767,32767,32767,32767,32767
68827356,-24,32767,32767,32767,32767,32767
68832358,32767,32767,32767,32767,32767,32767
68837349,-17,32767,32767,32767,-14,32767
68842347,32767,32767,32767,32767,32767,32767
68847349,-10,32767,32767,32767,32767,32767
68852364,32767,32767,32767,32767,32767,32767
68857349,-3,32767,32767,-29,-13,32767
68862347,32767,32767,32767,32767,32767,32767
68867347,6,32767,32767,32767,32767,32767
68872370,32767,32767,32767,32767,32767,32767
68877349,32767,32767,32767,32767,-14,32767
68882347,-37,32767,32767,32767,32767,32767
68887350,32767,32767,32767,32767,32767,32767
68892396,-30,32767,32767,32767,32767,32767
68897350,32767,32767,32767,32767,-14,32767
68902349,-23,32767,32767,32767,32767,32767
68907350,32767,32767,32767,-26,32767,32767
68912396,-16,32767,32767,32767,32767,32767
68917398,32767,32767,32767,32767,-14,32767
68922350,-9,32767,32767,32767,32767,32767
68927367,32767,32767,32767,32767,32767,32767
68932396,-2,32767,32767,32767,32767,32767
68937353,32767,32767,32767,32767,-14,32767
68942350,6,32767,32767,32767,32767,32767
68947350,32767,32767,32767,32767,32767,32767
68952396,32767,32767,32767,32767,32767,32767
68957355,-37,32767,32767,32767,-14,32767
68962353,32767,32767,32767,32767,32767,32767
68967350,-30,32767,32767,-22,32767,32767
68972396,32767,32767,32767,32767,32767,32767
68977351,-23,32767,32767,32767,-14,32767
68982361,32767,32767,32767,32767,32767,32767
68987352,-16,32767,32767,32767,32767,32767
68992396,32767,32767,32767,32767,32767,32767
68997352,-9,32767,32767,32767,-14,32767
69002347,32767,32767,32767,32767,32767,32767
69007349,-2,32767,32767,32767,32767,32767
69012376,32767,32767,32767,32767,32767,32767
69017350,6,32767,32767,-18,-14,32767
69022391,32767,32767,32767,32767,32767,32767
69027349,32767,32767,32767,32767,32767,32767
69032368,-37,32767,32767,32767,32767,32767
69037350,32767,32767,32767,32767,-14,32767
69042352,-30,32767,32767,32767,32767,32767
69047349,32767,32767,32767,32767,32767,32767
69052396,-23,32767,32767,32767,32767,32767
69057349,32767,32767,32767,32767,-14,32767
69062377,-16,32767,32767,32767,32767,32767
69067347,32767,32767,32767,-16,32767,32767
69072396,-9,32767,32767,32767,32767,32767
69077350,32767,32767,32767,32767,-14,32767
69082347,-1,32767,32767,32767,32767,32767
69087352,32767,32767,32767,32767,32767,32767
69092361,7,32767,32767,32767,32767,32767
69097350,32767,32767,32767,32767,-13,32767
69102347,32767,32767,32767,32767,32767,32767
69107394,-35,32767,32767,32767,32767,32767
69112396,32767,32767,32767,32767,32767,32767
69117349,-28,32767,32767,32767,-14,32767
69122347,32767,32767,32767,32767,32767,32767
69127375,-21,32767,32767,-13,32767,32767
69132399,32767,32767,32767,32767,32767,32767
69137350,-14,32767,32767,32767,-14,32767
69142347,32767,32767,32767,32767,32767,32767
69147350,-6,32767,32767,32767,32767,32767
69152374,32767,32767,32767,32767,32767,32767
69157351,1,32767,32767,32767,-14,32767
69162351,32767,32767,32767,32767,32767,32767
69167364,32767,32767,32767,32767,32767,32767
69172355,-42,32767,32767,32767,32767,32767
69177369,32767,32767,32767,-10,-14,32767
69182371,-34,32767,32767,32767,32767,32767
69187354,32767,32767,32767,32767,32767,32767
69192400,-28,32767,32767,32767,32767,32767
69197360,32767,32767,32767,32767,-14,32767
69202347,-19,32767,32767,32767,32767,32767
69207408,32767,32767,32767,32767,32767,32767
69212370,-12,32767,32767,32767,32767,32767
69217397,32767,32767,32767,32767,-14,32767
69222394,-5,32767,32767,32767,32767,32767
69227394,32767,32767,32767,-4,32767,32767
69232424,2,32767,32767,32767,32767,32767
69237400,32767,32767,32767,32767,-15,32767
69242391,32767,32767,32767,32767,32767,32767
69247391,-40,32767,32767,32767,32767,32767
69257371,-33,32767,32767,32767,-14,32767
69262374,32767,32767,32767,32767,32767,32767
69267369,-26,32767,32767,32767,32767,32767
69272388,32767,32767,32767,32767,32767,32767
69277353,-18,32767,32767,32767,-14,32767
69282350,32767,32767,32767,32767,32767,32767
69287361,-11,32767,32767,0,32767,32767
69292400,32767,32767,32767,32767,32767,32767
69297395,-4,32767,32767,32767,-14,32767
69302347,32767,32767,32767,32767,32767,32767
69307347,3,32767,32767,32767,32767,32767
69312400,32767,32767,32767,32767,32767,32767
69317356,32767,32767,32767,32767,-14,32767
69322349,-40,32767,32767,32767,32767,32767
69327359,32767,32767,32767,32767,32767,32767
69332352,-32,32767,32767,32767,32767,32767
69337370,32767,32767,32767,3,-14,32767
69342347,-25,32767,32767,32767,32767,32767
69347347,32767,32767,32767,32767,32767,32767
69352396,-17,32767,32767,32767,32767,32767
69357350,32767,32767,32767,32767,-14,32767
69362347,-10,32767,32767,32767,32767,32767
