timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
68295953,0.21507509,-0.14966805,0.38253868
68315927,0.19783482,-0.14674772,0.38845927
68335947,0.20096943,-0.13652663,0.37069744
68355955,0.20567133,-0.1379868,0.37957835
68375942,0.20410402,-0.14236727,0.37365776
68395936,0.2182097,-0.13944694,0.37069744
68415921,0.20410402,-0.13360633,0.38253868
68435924,0.20880592,-0.15404852,0.37513793
68455928,0.2103732,-0.14236727,0.36181653
68475917,0.20880592,-0.15988915,0.37365776
68495940,0.20410402,-0.13652663,0.3780982
68515932,0.19626753,-0.1379868,0.3692173
68535960,0.2103732,-0.14236727,0.37069744
68555982,0.20880592,-0.14236727,0.37957835
68575981,0.18216185,-0.1379868,0.3692173
68595923,0.19470023,-0.13652663,0.37365776
68615921,0.21507509,-0.14966805,0.37365776
68636001,0.20567133,-0.1482079,0.37957835
68655937,0.2025367,-0.14382742,0.3692173
68676081,0.2025367,-0.14236727,0.38845927
68695971,0.20410402,-0.14966805,0.37365776
68715966,0.20880592,-0.13214615,0.37957835
68735971,0.20567133,-0.14236727,0.3810585
68755975,0.20096943,-0.15988915,0.37069744
68775939,0.18999833,-0.14674772,0.3780982
68795963,0.20880592,-0.14966805,0.37957835
68816037,0.20880592,-0.1511282,0.3721776
68835981,0.19626753,-0.14382742,0.37513793
68856065,0.20096943,-0.14966805,0.37957835
68875925,0.2229116,-0.15404852,0.3914196
68895932,0.2166424,-0.13214615,0.37513793
68915970,0.2166424,-0.158429,0.37957835
68935919,0.21507509,-0.15258835,0.37957835
68955923,0.2166424,-0.14236727,0.385499
68975936,0.2166424,-0.13214615,0.37957835
68995927,0.20410402,-0.12922585,0.37957835
69015933,0.19313292,-0.12776569,0.3810585
69035928,0.2025367,-0.1379868,0.37957835
69055992,0.20567133,-0.158429,0.3692173
69075941,0.20567133,-0.15404852,0.37957835
69096042,0.2103732,-0.15404852,0.3780982
69115960,0.20880592,-0.1482079,0.3810585
69135973,0.20567133,-0.15404852,0.37513793
69155926,0.20567133,-0.1511282,0.3810585
69175933,0.20567133,-0.158429,0.37957835
69195920,0.2166424,-0.14236727,0.37957835
69215952,0.2119405,-0.1482079,0.3810585
69235934,0.20880592,-0.12922585,0.37957835
69255964,0.2025367,-0.13360633,0.3721776
69275992,0.19783482,-0.13652663,0.37957835
69295994,0.20880592,-0.13360633,0.36773717
69315936,0.20410402,-0.14674772,0.3780982
69335947,0.20880592,-0.14236727,0.37957835
69355923,0.20410402,-0.13652663,0.37069744
69375918,0.20410402,-0.13944694,0.37957835
69395916,0.20880592,-0.14236727,0.3869791
69415921,0.19313292,-0.14382742,0.37957835
69435951,0.21507509,-0.14674772,0.37365776
69455958,0.19940212,-0.14236727,0.3721776
69475982,0.2166424,-0.14236727,0.3692173
69495934,0.2103732,-0.15696883,0.35441574
69516028,0.2025367,-0.14382742,0.3692173
69535997,0.2182097,-0.14966805,0.36181653
69556050,0.21507509,-0.15696883,0.3780982
69576052,0.21507509,-0.13652663,0.38253868
69595916,0.2103732,-0.14674772,0.37957835
69615936,0.2166424,-0.14382742,0.37513793
69635936,0.2182097,-0.1482079,0.37957835
69655919,0.19783482,-0.14674772,0.37069744
69675932,0.21507509,-0.14236727,0.3780982
69695935,0.21977697,-0.14674772,0.36181653
69715932,0.2229116,-0.14382742,0.385499
69735926,0.20880592,-0.15404852,0.366257
69755922,0.20410402,-0.15258835,0.37957835
69775934,0.2103732,-0.13944694,0.3780982
69795919,0.19783482,-0.15258835,0.38253868
69815917,0.20880592,-0.13360633,0.36773717
69835918,0.2119405,-0.1379868,0.37513793
69855939,0.20880592,-0.15258835,0.37365776
69875952,0.2182097,-0.13360633,0.3780982
69895977,0.2025367,-0.1379868,0.3721776
69915976,0.2025367,-0.1482079,0.3810585
69936057,0.20567133,-0.1511282,0.3810585
69955977,0.20880592,-0.14382742,0.37513793
69975962,0.2103732,-0.13652663,0.37365776
69995990,0.2182097,-0.14236727,0.3721776
70015999,0.2182097,-0.14382742,0.37957835
70035929,0.2166424,-0.1511282,0.3603364
70055918,0.20410402,-0.15696883,0.3869791
70075918,0.20567133,-0.158429,0.37957835
70095915,0.22918077,-0.14382742,0.385499
70115927,0.20880592,-0.1511282,0.3692173
70135918,0.18216185,-0.14382742,0.38845927
70155918,0.20880592,-0.1511282,0.3810585
70175960,0.2229116,-0.1482079,0.37957835
70195965,0.22604617,-0.14382742,0.3721776
70215929,0.18999833,-0.1511282,0.3692173
70235972,0.21507509,-0.14674772,0.3780982
70256045,0.20567133,-0.14236727,0.3603364
70276097,0.20567133,-0.15404852,0.37365776
70295926,0.2025367,-0.14236727,0.366257
70316019,0.19940212,-0.12484538,0.37957835
70335949,0.19783482,-0.14966805,0.37365776
70356049,0.21507509,-0.13944694,0.37365776
70375940,0.2119405,-0.14236727,0.3721776
70395962,0.2182097,-0.1482079,0.37957835
70415933,0.2182097,-0.13944694,0.37365776
70435966,0.20096943,-0.14674772,0.36181653
70456034,0.2103732,-0.14236727,0.37957835
70475957,0.20880592,-0.1482079,0.37957835
70495941,0.2025367,-0.1482079,0.37513793
70515917,0.2166424,-0.1379868,0.37957835
70535933,0.20567133,-0.14236727,0.366257
70555932,0.2166424,-0.1482079,0.37513793
70575920,0.20880592,-0.14236727,0.36477685
70595922,0.20880592,-0.14236727,0.3780982
70615949,0.2166424,-0.1482079,0.3721776
70635972,0.20096943,-0.14674772,0.36181653
70655937,0.20880592,-0.14674772,0.3780982
70675956,0.2119405,-0.13360633,0.3721776
70695963,0.19313292,-0.14236727,0.37957835
70715982,0.19940212,-0.14236727,0.37513793
70736023,0.2103732,-0.15258835,0.38253868
70755939,0.20880592,-0.14236727,0.39289978
70776055,0.19470023,-0.14236727,0.3780982
70795965,0.20567133,-0.1482079,0.37957835
70815953,0.2119405,-0.12484538,0.3721776
70835930,0.2182097,-0.13360633,0.39289978
70855920,0.2182097,-0.14674772,0.36181653
70875924,0.21507509,-0.11900475,0.35885626
70895961,0.2025367,-0.14236727,0.3914196
70915980,0.18999833,-0.13214615,0.37513793
70935969,0.2119405,-0.12776569,0.3810585
70956030,0.19313292,-0.14382742,0.3558959
70976050,0.20880592,-0.14382742,0.385499
70996030,0.2025367,-0.14382742,0.3810585
71015930,0.2119405,-0.13360633,0.38845927
71035937,0.2166424,-0.13360633,0.366257
