timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
65728849,15448849,49.0896588,2.1104546,-0.63633883,-4.7181664,-0.050403412,0.0018455337,0.0027404597,0.0,0.029719511,0.006043737,0.02906649,0.0042660283,0.029180843,-0.008581807,0.052221604,0.015944807,0.028028702,-0.027021956,0.5781419,0.00507739,86.623116,0.1,0.22854751,0.3909037,0.1245976,0.10504599,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
65828849,15448849,49.0896588,2.1104546,-0.63822025,-4.718599,-0.051982015,0.0018455337,0.0027404597,0.0,0.027612694,0.006902852,0.028803136,0.0021517028,0.029180843,-0.008581807,0.052221604,-0.005772556,0.030728834,0.027685104,0.57820123,0.00507739,86.623116,0.1,0.23719552,0.39271423,0.12908988,0.10648413,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
65928852,15448849,49.0896588,2.1104546,-0.63953125,-4.7188373,-0.054789323,0.0018455337,0.0027404597,0.0,0.025721667,0.007944792,0.028110385,-0.0013657993,0.029180843,-0.008581807,0.052221604,0.007598065,0.016712327,-0.005907167,0.57817525,0.00507739,86.623116,0.1,0.22859567,0.390156,0.12456962,0.104960516,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
66028861,15448849,49.0896588,2.1104546,-0.6409821,-4.7190404,-0.058809288,0.0018455337,0.0027404597,0.0,0.024312519,0.00872729,0.026944079,-0.0061027603,0.029180843,-0.008581807,0.052221604,0.02368562,0.01706564,-0.0008720363,0.5780564,0.00507739,86.623116,0.1,0.23723844,0.39195645,0.12906022,0.106395565,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
66128849,15448849,49.0896588,2.1104546,-0.6417179,-4.7188487,-0.063439496,0.0018455337,0.0027404597,0.0,0.022873314,0.00968118,0.024318269,-0.012332469,0.029180843,-0.008581807,0.052221604,0.026725588,0.020119714,0.024188865,0.5778743,0.00507739,86.623116,0.1,0.22863247,0.38941363,0.12454663,0.10487609,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
66228849,15448849,49.0896588,2.1104546,-0.6421392,-4.718288,-0.06969483,0.0018455337,0.0027404597,0.0,0.022833996,0.009611451,0.022756265,-0.01838501,0.029180843,-0.008581807,0.052221604,-0.009118428,-0.025155907,-0.0052430346,0.57779604,0.00507739,86.623116,0.1,0.23727034,0.39120397,0.12903848,0.10630806,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
66328849,15448849,49.0896588,2.1104546,-0.6424968,-4.7175956,-0.07541403,0.0018455337,0.0027404597,0.0,0.021966506,0.010440672,0.020553242,-0.023869488,0.029180843,-0.008581807,0.052221604,-0.0019893614,0.013247464,0.026949305,0.5778324,0.00507739,86.623116,0.1,0.22870377,0.39110345,0.12454359,0.105053745,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
66428849,15448849,49.0896588,2.1104546,-0.6436263,-4.7167645,-0.080906525,0.0018455337,0.0027404597,0.0,0.021468708,0.011114654,0.019691113,-0.027291328,0.029180843,-0.008581807,0.052221604,-0.004763205,0.006351621,0.0037966263,0.57792693,0.00507739,86.623116,0.1,0.23733887,0.39291757,0.12903145,0.10649284,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
66528849,15448849,49.0896588,2.1104546,-0.64379746,-4.7156115,-0.08544105,0.0018455337,0.0027404597,0.0,0.020981923,0.012286601,0.017818017,-0.030305268,0.029180843,-0.008581807,0.052221604,0.00032925772,0.001657565,0.019946914,0.5780375,0.00507739,86.623116,0.1,0.22876164,0.3903653,0.12453252,0.10497164,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
66628858,15448849,49.0896588,2.1104546,-0.64319444,-4.713924,-0.088570654,0.0018455337,0.0027404597,0.0,0.020867022,0.0143686095,0.017057074,-0.03063081,0.029180843,-0.008581807,0.052221604,0.0048492053,0.0063982406,-0.0038021812,0.578187,0.00507739,86.623116,0.1,0.23739365,0.39217776,0.12902261,0.1064099,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
