timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
65333956,65333,1,1,1,0,0,0,0,0
65838222,65333,1,1,1,0,0,0,0,0
66342216,65333,1,1,1,0,0,0,0,0
67852286,65333,1,1,1,0,0,0,0,0
68353181,65333,1,1,1,0,0,0,0,0
68856500,65333,1,1,1,0,0,0,0,0
69358234,65333,1,1,1,0,0,0,0,0
69863179,65333,1,1,1,0,0,0,0,0
70365503,65333,1,1,1,0,0,0,0,0
70867241,65333,1,1,1,0,0,0,0,0
71371913,65333,1,1,1,0,0,0,0,0
71874173,65333,1,1,1,0,0,0,0,0
72375539,65333,1,1,1,0,0,0,0,0
72876388,65333,1,1,1,0,0,0,0,0
73383178,65333,1,1,1,0,0,0,0,0
73885529,65333,1,1,1,0,0,0,0,0
74394170,65333,1,1,1,0,0,0,0,0
74896497,65333,1,1,1,0,0,0,0,0
75397182,65333,1,1,1,0,0,0,0,0
75902292,65333,1,1,1,0,0,0,0,0
76405338,65333,1,1,1,0,0,0,0,0
76905493,65333,1,1,1,0,0,0,0,0
77407176,65333,1,1,1,0,0,0,0,0
77912035,65333,1,1,1,0,0,0,0,0
78422174,65333,1,1,1,0,0,0,0,0
78923306,65333,1,1,1,0,0,0,0,0
79425283,65333,1,1,1,0,0,0,0,0
79925599,65333,1,1,1,0,0,0,0,0
80427221,65333,1,1,1,0,0,0,0,0
80931731,65333,1,1,1,0,0,0,0,0
81433547,65333,1,1,1,0,0,0,0,0
81945240,65333,1,1,1,0,0,0,0,0
82447178,65333,1,1,1,0,0,0,0,0
82953209,65333,1,1,1,0,0,0,0,0
83456561,65333,1,1,1,0,0,0,0,0
85478176,65333,1,1,1,0,0,0,0,0
85991668,65333,1,1,1,0,0,0,0,0
86492378,65333,1,1,1,0,0,0,0,0
86993220,65333,1,1,1,0,0,0,0,0
87496407,65333,1,1,1,0,0,0,0,0
87998229,65333,1,1,1,0,0,0,0,0
88502289,65333,1,1,1,0,0,0,0,0
89006209,65333,1,1,1,0,0,0,0,0
89511683,65333,1,1,1,0,0,0,0,0
90017284,65333,1,1,1,0,0,0,0,0
90522205,65333,1,1,1,0,0,0,0,0
91027172,65333,1,1,1,0,0,0,0,0
91537459,65333,1,1,1,0,0,0,0,0
93052685,65333,1,1,1,0,0,0,0,0
93553215,65333,1,1,1,0,0,0,0,0
94053292,65333,1,1,1,0,0,0,0,0
94556515,65333,1,1,1,0,0,0,0,0
95062341,65333,1,1,1,0,0,0,0,0
95565534,65333,1,1,1,0,0,0,0,0
96067296,65333,1,1,1,0,0,0,0,0
96576424,65333,1,1,1,0,0,0,0,0
97078242,65333,1,1,1,0,0,0,0,0
97583291,65333,1,1,1,0,0,0,0,0
98085563,65333,1,1,1,0,0,0,0,0
98587290,65333,1,1,1,0,0,0,0,0
99092621,65333,1,1,1,0,0,0,0,0
100599300,65333,1,1,1,0,0,0,0,0
101102227,65333,1,1,1,0,0,0,0,0
101605480,65333,1,1,1,0,0,0,0,0
102108318,65333,1,1,1,0,0,0,0,0
102618176,65333,1,1,1,0,0,0,0,0
103125591,65333,1,1,1,0,0,0,0,0
103627298,65333,1,1,1,0,0,0,0,0
104132481,65333,1,1,1,0,0,0,0,0
104634035,65333,1,1,1,0,0,0,0,0
105136562,65333,1,1,1,0,0,0,0,0
105638216,65333,1,1,1,0,0,0,0,0
106142398,65333,1,1,1,0,0,0,0,0
106645554,65333,1,1,1,0,0,0,0,0
107148368,65333,1,1,1,0,0,0,0,0
107652078,65333,1,1,1,0,0,0,0,0
108153290,65333,1,1,1,0,0,0,0,0
108656446,65333,1,1,1,0,0,0,0,0
109158214,65333,1,1,1,0,0,0,0,0
109662317,65333,1,1,1,0,0,0,0,0
110165481,65333,1,1,1,0,0,0,0,0
110667183,65333,1,1,1,0,0,0,0,0
111673238,65333,1,1,1,0,0,0,0,0
112176525,65333,1,1,1,0,0,0,0,0
112678172,65333,1,1,1,0,0,0,0,0
113187179,65333,1,1,1,0,0,0,0,0
114193387,65333,1,1,1,0,0,0,0,0
114696512,65333,1,1,1,0,0,0,0,0
115198282,65333,1,1,1,0,0,0,0,0
115713199,65333,1,1,1,0,0,0,0,0
116216683,65333,1,1,1,0,0,0,0,0
116718169,65333,1,1,1,0,0,0,0,0
117229301,65333,1,1,1,0,0,0,0,0
117733167,65333,1,1,1,0,0,0,0,0
120256432,65333,1,1,1,0,0,0,0,0
120761539,65333,1,1,1,0,0,0,0,0
121263173,65333,1,1,1,0,0,0,0,0
121773310,65333,1,1,1,0,0,0,0,0
122276418,65333,1,1,1,0,0,0,0,0
122782437,65333,1,1,1,0,0,0,0,0
123285573,65333,1,1,1,0,0,0,0,0
123787550,65333,1,1,1,0,0,0,0,0
124291657,65333,1,1,1,0,0,0,0,0
124793328,65333,1,1,1,0,0,0,0,0
125296320,65333,1,1,1,0,0,0,0,0
125798166,65333,1,1,1,0,0,0,0,0
126302272,65333,1,1,1,0,0,0,0,0
126805564,65333,1,1,1,0,0,0,0,0
127307560,65333,1,1,1,0,0,0,0,0
