timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
65633058,41.89258,1906.7216,2,27,14326,14336,0,3,133
66633369,294.0,287.5919,3,65,13725,14336,0,3,133
68633904,550.6963,182.17984,10,105,6942,14336,0,3,133
69633951,816.374,202.93353,10,125,4849,14336,0,3,133
70635182,1078.0,214.56601,10,145,7881,14336,0,3,133
71635445,1343.1172,222.94777,10,165,6370,14336,0,3,133
72635526,1604.8623,228.4684,10,185,8345,14336,0,3,133
73636233,1870.9219,233.13242,11,205,5661,14336,0,3,133
74637068,2132.1729,236.22615,13,225,8181,14336,0,3,133
75637292,2394.0,238.77428,15,245,9471,14336,0,3,133
76637885,2660.0,241.2305,18,265,5254,14336,0,3,133
77638830,2916.3398,242.46776,20,284,10396,14336,0,3,133
78638914,3182.1875,244.2608,20,307,7865,14336,0,3,133
79638999,3444.0,245.51053,20,327,9752,14336,0,3,133
80641313,3710.0,246.83595,20,347,8134,14336,0,3,133
81642105,3976.0,248.01917,20,367,6108,14336,0,3,133
82642758,4237.7695,248.817,20,387,8039,14336,0,3,133
83643616,4499.408,249.51624,20,407,10284,14336,0,3,133
85644283,4670.459,233.13599,24,447,10225,14336,0,3,133
86645233,4936.8643,234.70714,24,467,8439,14336,0,3,133
87645279,5198.659,235.936,25,487,10100,14336,0,3,133
88645859,5464.0723,237.20973,25,507,8341,14336,0,3,133
89646715,5726.0,238.22969,26,527,9164,14336,0,3,133
90647476,5986.7793,239.12312,27,547,11450,14336,0,3,133
91647521,6252.787,240.15529,28,574,7640,14336,0,3,133
93649068,6510.0,232.18506,34,614,6343,14336,0,3,133
94649095,6770.9854,233.17665,35,634,8035,14336,0,3,133
95651105,7032.6836,234.11049,36,654,10428,14336,0,3,133
96651256,7298.203,235.12125,36,675,8275,14336,0,3,133
97651542,7560.0,235.95169,36,698,9713,14336,0,3,133
98651599,7826.0,236.86073,36,718,7499,14336,0,3,133
100651637,8036.0,229.33427,43,758,7983,14336,0,3,133
101652335,8296.689,230.19984,45,778,10759,14336,0,3,133
102653089,8561.013,231.11638,46,798,9800,14336,0,3,133
103653826,8824.033,231.95052,46,818,10346,14336,0,3,133
104653953,9090.207,232.82632,46,838,7932,14336,0,3,133
105655694,9347.953,233.43849,49,858,12623,14336,0,3,133
106656232,9618.0,234.32735,51,878,5072,14336,0,3,133
107656281,9880.667,235.00111,51,898,6312,14336,0,3,133
108656292,10141.636,235.60431,51,921,8438,14336,0,3,133
109656394,10402.0,236.16591,54,941,10351,14336,0,3,133
110657127,10660.049,236.64786,56,961,11743,14336,0,3,133
111657387,10808.0,234.72028,60,981,7830,14336,0,3,133
112657827,11072.741,235.35619,60,1001,6612,14336,0,3,133
114658737,11550.0,235.4853,68,1041,8444,14336,0,3,133
115658797,11811.048,235.99576,69,1061,10911,14336,0,3,133
116658925,12054.0,236.13144,72,1081,6460,14336,0,3,133
117661575,12314.77,236.59277,72,1101,10264,14336,0,3,133
120662366,12568.941,228.31334,77,1161,6675,14336,0,3,133
121662624,12833.825,228.96474,77,1181,5399,14336,0,3,133
122662773,13034.0,228.4595,82,1201,8396,14336,0,3,133
123663435,13300.0,229.10356,82,1221,6145,14336,0,3,133
124663482,13557.18,229.57883,82,1241,12842,14336,0,3,133
125663573,13822.085,230.16673,82,1261,11785,14336,0,3,133
126664223,14090.41,230.78929,83,1281,6691,14336,0,3,133
127664234,14350.0,231.25337,83,1301,10908,14336,0,3,133
128665217,14616.0,231.80086,83,1321,9355,14336,0,3,133
129665527,14878.877,232.28487,85,1341,8011,14336,0,3,133
130665751,15139.441,232.71878,85,1361,11045,14336,0,3,133
131665888,15405.267,233.2195,85,1381,8988,14336,0,3,133
132665946,15666.0,233.6296,85,1401,12021,14336,0,3,133
133666661,15927.661,234.03903,87,1421,8839,14336,0,3,133
134667521,16188.591,234.42554,87,1441,12289,14336,0,3,133
135667563,16456.941,234.90962,89,1461,6857,14336,0,3,133
136668224,16721.363,235.32278,89,1481,5919,14336,0,3,133
137668285,16986.914,235.74208,89,1501,4119,14336,0,3,133
138669036,17248.0,236.08655,89,1521,6637,14336,0,3,133
139669099,17511.29,236.45366,89,1541,6683,14336,0,3,133
140671516,17775.09,236.81038,89,1561,7476,14336,0,3,133
141671594,17834.082,234.47232,91,1581,9229,14336,0,3,133
142671666,17939.14,232.79271,95,1601,8750,14336,0,3,133
143672300,18200.0,233.15036,95,1621,12242,14336,0,3,133
144672374,18466.0,233.56564,95,1641,10042,14336,0,3,133
145672540,18732.0,233.97026,95,1661,7529,14336,0,3,133
146673310,18989.984,234.26428,96,1681,13038,14336,0,3,133
147673825,19261.008,234.71077,96,1701,5421,14336,0,3,133
148675377,19525.588,235.06596,96,1724,4761,14336,0,3,133
149675443,19782.0,235.31973,96,1744,12476,14336,0,3,133
152677077,20155.734,231.49951,103,1807,5960,14336,0,3,133
153677281,20418.178,231.85034,103,1830,6713,14336,0,3,133
154677496,20682.055,232.20938,105,1850,4012,14336,0,3,133
155677863,20944.0,232.53856,105,1870,5903,14336,0,3,133
156678730,21203.533,232.83281,108,1890,9224,14336,0,3,133
157681457,21467.766,233.16693,108,1910,9417,14336,0,3,133
158681469,21736.086,233.5446,108,1930,4775,14336,0,3,133
159681519,21994.0,233.80354,108,1950,10653,14336,0,3,133
160681566,22260.0,234.14209,108,1970,8446,14336,0,3,133
161682185,22526.0,234.47218,108,1990,6507,14336,0,3,133
162682665,22792.0,234.7958,108,2010,3994,14336,0,3,133
163683103,23049.809,235.0294,112,2030,7271,14336,0,3,133
164683436,23315.463,235.33772,112,2050,5462,14336,0,3,133
166683780,23660.0,234.08893,119,2090,5444,14336,0,3,133
167685157,23917.844,234.31851,124,2110,10690,14336,0,3,133
168685317,24183.705,234.62416,126,2130,7476,14336,0,3,133
171686682,24668.0,232.55115,130,2190,4130,14336,0,3,133
172687794,24925.45,232.78127,130,2210,11148,14336,0,3,133
173688234,25194.992,233.12044,130,2230,5317,14336,0,3,133
174688284,25456.969,233.38489,130,2250,6860,14336,0,3,133
175688400,25718.0,233.63579,131,2270,9541,14336,0,3,133
176689023,25988.111,233.96284,131,2290,2877,14336,0,3,133
177691423,26250.0,234.2071,131,2310,5487,14336,0,3,133
178691553,26509.56,234.43094,132,2330,8859,14336,0,3,133
179691738,26774.047,234.69403,132,2353,7498,14336,0,3,133
180692295,27039.262,234.9581,132,2373,6575,14336,0,3,133
181692405,27300.0,235.17996,132,2393,9450,14336,0,3,133
182692579,27560.754,235.39804,135,2413,10467,14336,0,3,133
185695545,27916.0,232.46971,141,2473,12762,14336,0,3,133
186695602,28182.0,232.74652,144,2493,8197,14336,0,3,133
187696229,28442.668,232.97401,146,2513,8835,14336,0,3,133
188697346,28709.988,233.25096,146,2533,5861,14336,0,3,133
189697824,28975.555,233.51048,148,2553,3233,14336,0,3,133
190698692,29232.0,233.69221,150,2573,7316,14336,0,3,133
191698777,29498.0,233.94829,150,2594,4999,14336,0,3,133
192701149,29760.17,234.16599,150,2614,7499,14336,0,3,133
193701247,30021.113,234.37486,150,2634,10099,14336,0,3,133
194701401,30287.613,234.62344,150,2654,7474,14336,0,3,133
197701598,30688.0,232.32555,157,2714,7074,14336,0,3,133
199702625,31216.238,232.79797,159,2754,5789,14336,0,3,133
200702930,31477.871,233.0109,159,2774,7800,14336,0,3,133
201703542,31742.441,233.24176,159,2794,7110,14336,0,3,133
202705073,32004.0,233.4457,162,2814,6269,14336,0,3,133
203705238,32270.0,233.68117,162,2834,4270,14336,0,3,133
204705344,32531.262,233.87926,166,2854,3989,14336,0,3,133
205705543,32792.29,234.0729,167,2874,6063,14336,0,3,133
206705882,33054.0,234.26802,169,2894,6570,14336,0,3,133
209707651,33497.14,232.46315,178,2954,7218,14336,0,3,133
210708306,33763.293,232.69429,178,2974,4550,14336,0,3,133
211709065,34024.46,232.88795,178,2997,6637,14336,0,3,133
212711238,34290.938,233.11288,178,3017,4737,14336,0,3,133
213711595,34552.0,233.30103,178,3037,7600,14336,0,3,133
214711636,34818.0,233.52026,178,3057,5240,14336,0,3,133
215711684,35074.902,233.676,179,3077,8585,14336,0,3,133
216712340,35340.195,233.8842,179,3100,7091,14336,0,3,133
217712396,35602.0,234.06769,179,3120,9029,14336,0,3,133
218713119,35868.0,234.27515,180,3140,5883,14336,0,3,133
220713824,36278.86,233.90211,186,3180,9328,14336,0,3,133
221713947,36544.83,234.10735,186,3200,7098,14336,0,3,133
222713953,36727.727,233.78139,190,3224,7091,14336,0,3,133
223713959,36993.684,233.98488,190,3245,4550,14336,0,3,133
224715309,37258.15,234.17448,190,3265,4596,14336,0,3,133
225715630,37520.0,234.34688,190,3288,6151,14336,0,3,133
228717156,37912.0,232.4377,195,3348,7304,14336,0,3,133
229717823,38178.0,232.64128,195,3368,4951,14336,0,3,133
230717895,38440.203,232.8202,195,3388,6578,14336,0,3,133
231718769,38705.113,233.01219,195,3408,5332,14336,0,3,133
232721149,38967.848,233.18672,195,3431,6549,14336,0,3,133
233722469,39228.0,233.34529,198,3455,9253,14336,0,3,133
234722598,39494.0,233.53822,198,3485,5511,14336,0,3,133
235722753,39755.582,233.70287,198,3506,7473,14336,0,3,133
236722840,40018.32,233.87242,199,3526,7309,14336,0,3,133
237722853,40283.016,234.05151,200,3546,5910,14336,0,3,133
238723437,40548.277,234.23099,200,3564,4360,14336,0,3,133
239723563,40810.0,234.38872,200,3588,5977,14336,0,3,133
240723626,41076.0,234.56914,200,3611,3242,14336,0,3,133
241724939,41337.184,234.71852,200,3632,5752,14336,0,3,133
243725205,41658.6,233.88715,207,3673,10679,14336,0,3,133
244725460,41930.0,234.09624,207,3689,3445,14336,0,3,133
245725826,42190.99,234.24506,207,3714,5575,14336,0,3,133
246725893,42452.426,234.39513,209,3734,4098,14336,0,3,133
248726678,42742.0,233.41542,215,3774,4926,14336,0,3,133
249727518,43006.914,233.58542,215,3794,4157,14336,0,3,133
250728233,43266.0,233.72226,219,3810,5957,14336,0,3,133
251729053,43526.0,233.86243,219,3838,8651,14336,0,3,133
252729073,43792.0,234.03415,219,3858,6403,14336,0,3,133
253731583,44058.0,234.20096,220,3878,4225,14336,0,3,133
256732377,44394.0,232.28181,226,3938,8201,14336,0,3,133
257733047,44660.0,232.45651,229,3958,4670,14336,0,3,133
258733127,44920.664,232.60246,229,3978,7609,14336,0,3,133
259733213,45182.473,232.75282,229,3998,9577,14336,0,3,133
260733891,45444.0,232.89949,233,4018,8092,14336,0,3,133
261733947,45710.0,233.06819,234,4038,5622,14336,0,3,133
262735302,45971.574,233.21121,236,4058,8575,14336,0,3,133
263735465,46238.164,233.37947,236,4078,5722,14336,0,3,133
264736223,46502.723,233.53517,236,4098,4991,14336,0,3,133
265736416,46764.348,233.67531,237,4118,7160,14336,0,3,133
266737060,47030.08,233.83395,239,4138,4991,14336,0,3,133
267737081,47292.0,233.97285,242,4158,5397,14336,0,3,133
268737350,47557.33,234.12694,242,4178,3722,14336,0,3,133
270737847,47982.027,233.91403,246,4220,6242,14336,0,3,133
271738753,48192.316,233.79839,250,4240,4348,14336,0,3,133
272741198,48454.0,233.93025,251,4260,6167,14336,0,3,133
273741293,48686.82,233.9249,255,4280,5722,14336,0,3,133
274741504,48948.637,234.05795,257,4300,6400,14336,0,3,133
275741575,49208.1,234.17877,259,4323,9587,14336,0,3,133
277742487,49424.29,232.98904,263,4363,8254,14336,0,3,133
278743492,49691.07,233.14648,263,4385,4767,14336,0,3,133
279744224,49952.0,233.27542,266,4405,6484,14336,0,3,133
280744968,50212.906,233.40305,269,4425,6410,14336,0,3,133
281745237,50478.67,233.55252,270,4445,4231,14336,0,3,133
282745280,50740.34,233.68193,270,4465,6267,14336,0,3,133
283745417,51006.133,233.829,270,4485,4224,14336,0,3,133
284745955,51268.0,233.95639,271,4505,4535,14336,0,3,133
285746689,51525.24,234.06137,271,4526,11032,14336,0,3,133
286747478,51794.406,234.2193,275,4546,3960,14336,0,3,133
289748311,52224.863,233.00398,283,4612,10545,14336,0,3,133
290749031,52494.797,233.16725,283,4632,4157,14336,0,3,133
291749300,52756.305,233.29231,284,4652,4078,14336,0,3,133
292751299,53012.477,233.39098,284,4673,12607,14336,0,3,133
293751532,53284.0,233.55788,284,4693,4399,14336,0,3,133
294752520,53548.65,233.69255,286,4713,3076,14336,0,3,133
295753060,53810.348,233.8137,286,4733,5269,14336,0,3,133
296753171,54076.44,233.95325,286,4754,2738,14336,0,3,133
297753824,54338.367,234.07309,286,4774,4538,14336,0,3,133
298753945,54600.0,234.19116,286,4794,6920,14336,0,3,133
300755500,54778.793,232.95808,292,4834,6029,14336,0,3,133
301756235,55042.562,233.08784,292,4854,6070,14336,0,3,133
302757596,55304.406,233.20775,293,4874,8143,14336,0,3,133
303758011,55566.0,233.32655,296,4894,7935,14336,0,3,133
304758683,55832.0,233.46251,297,4914,5317,14336,0,3,133
305761298,56092.67,233.57329,298,4935,8071,14336,0,3,133
306761476,56358.44,233.70662,298,4958,5269,14336,0,3,133
307761688,56620.098,233.82182,298,4978,7280,14336,0,3,133
308762202,56882.0,233.93681,298,5001,9173,14336,0,3,133
309762406,57148.0,234.06795,298,5021,6776,14336,0,3,133
310762838,57414.0,234.1978,298,5041,4517,14336,0,3,133
312763594,57577.96,232.9653,302,5081,3989,14336,0,3,133
313764230,57839.207,233.07867,303,5105,5281,14336,0,3,133
314765372,58100.0,233.18884,303,5125,8974,14336,0,3,133
315765925,58366.0,233.31955,303,5145,6636,14336,0,3,133
316765956,58626.86,233.42912,305,5165,7485,14336,0,3,133
317766623,58889.707,233.54517,305,5185,8187,14336,0,3,133
318766636,59154.92,233.67026,308,5205,4958,14336,0,3,133
319767603,59416.0,233.7772,308,5225,8236,14336,0,3,133
320767801,59682.0,233.9033,308,5245,5835,14336,0,3,133
321768227,59942.176,234.00548,308,5265,9117,14336,0,3,133
322768299,60204.85,234.1169,308,5285,10389,14336,0,3,133
323769094,60256.0,233.40746,314,5307,12860,14336,0,3,133
324771165,60526.41,233.54836,314,5327,6520,14336,0,3,133
325771456,60788.0,233.65587,314,5347,8794,14336,0,3,133
326771485,61054.0,233.77971,314,5367,6463,14336,0,3,133
327771616,61320.0,233.90248,314,5387,3909,14336,0,3,133
328772336,61538.523,233.84341,319,5407,7825,14336,0,3,133
329773119,61804.867,233.96574,319,5427,5298,14336,0,3,133
330773888,62011.668,233.86261,324,5447,5818,14336,0,3,133
331775395,62276.016,233.97583,324,5467,6029,14336,0,3,133
332775408,62449.18,233.7482,329,5487,8229,14336,0,3,133
333775784,62714.406,233.86525,331,5507,3469,14336,0,3,133
334776327,62976.48,233.96957,331,5532,4850,14336,0,3,133
335776427,63237.78,234.07066,331,5581,3473,14336,0,3,133
336777214,63472.37,234.07188,331,5803,7451,14336,0,3,133
338777290,63578.64,232.74709,340,6213,11381,14336,0,3,133
340778021,64055.805,232.78888,343,6644,9729,14336,0,3,133
341778825,64297.438,232.82024,348,6857,4850,14336,0,3,133
342780931,64534.43,232.83351,351,7073,5610,14336,0,3,133
343781546,64771.496,232.84822,354,7277,7778,14336,0,3,133
344782111,65002.0,232.83937,365,7506,7526,14336,0,3,133
345782306,65218.363,232.78036,376,7720,8902,14336,0,3,133
346782648,65450.0,232.77605,385,7925,4339,14336,0,3,133
347782776,65686.76,232.79004,386,8140,6159,14336,0,3,133
348783504,65920.78,232.7938,387,8361,8884,14336,0,3,133
349784234,66164.0,232.82988,388,8578,3177,14336,0,3,133
350785039,66402.0,232.848,388,8806,2663,14336,0,3,133
351785380,66636.99,232.85457,390,9017,7447,14336,0,3,133
352785880,66878.0,232.88257,390,9222,7234,14336,0,3,133
353785914,67116.0,232.9003,392,9422,9321,14336,0,3,133
354786632,67358.92,232.93436,392,9635,5505,14336,0,3,133
355786644,67597.15,232.95259,392,9853,6000,14336,0,3,133
356787488,67834.07,232.96553,395,10070,6054,14336,0,3,133
360789064,68165.234,230.92926,404,10910,3076,14336,0,3,133
361793106,68395.04,230.92233,410,11130,9662,14336,0,3,133
362793198,68637.625,230.9615,412,11330,6070,14336,0,3,133
363793328,68879.76,230.99887,412,11537,3989,14336,0,3,133
364793352,69118.0,231.02306,412,11740,6398,14336,0,3,133
365793360,69356.0,231.0463,412,11943,9276,14336,0,3,133
366793943,69598.1,231.08255,414,12152,5550,14336,0,3,133
367795377,69836.16,231.1045,421,12352,4241,14336,0,3,133
368795478,70074.71,231.12903,423,12554,4790,14336,0,3,133
369796286,70316.71,231.16415,423,12758,3469,14336,0,3,133
370796474,70550.36,231.17213,424,12962,9527,14336,0,3,133
371797177,70790.81,231.20193,426,13171,8098,14336,0,3,133
372797912,71030.125,231.22778,431,13351,9996,14336,0,3,133
373797919,71269.03,231.2527,432,13556,10284,14336,0,3,133
374798748,71512.0,231.28996,432,13768,6807,14336,0,3,133
375801276,71764.0,231.35484,434,13886,5519,14336,0,3,133
376801512,72021.12,231.43744,438,13924,5802,14336,0,3,133
377801642,72282.0,231.53166,438,13962,6210,14336,0,3,133
378802179,72538.69,231.61157,440,14001,5269,14336,0,3,133
379802430,72772.0,231.61684,440,14223,9767,14336,0,3,133
381803459,73014.73,230.91866,443,14656,8321,14336,0,3,133
382803602,73252.12,230.939,443,14861,10739,14336,0,3,133
383804226,73491.37,230.96463,446,15076,7642,14336,0,3,133
384805007,73654.0,230.75002,452,15287,6102,14336,0,3,133
385805376,73889.64,230.76501,458,15508,5509,14336,0,3,133
386805460,74116.0,230.75124,464,15718,7924,14336,0,3,133
387805504,74354.0,230.7737,465,15936,7034,14336,0,3,133
388805834,74582.5,230.76643,467,16153,6826,14336,0,3,133
391806644,74858.0,229.4881,472,16790,4133,14336,0,3,133
392807211,75095.234,229.51138,472,17005,6008,14336,0,3,133
393807606,75329.34,229.52513,473,17217,10186,14336,0,3,133
394808287,75572.0,229.56453,473,17429,6777,14336,0,3,133
395808487,75801.66,229.56467,480,17653,9877,14336,0,3,133
396809026,76043.06,229.60002,482,17860,6574,14336,0,3,133
397812693,76286.0,229.63766,482,18059,6138,14336,0,3,133
398813079,76524.0,229.6625,486,18274,6015,14336,0,3,133
399813359,76762.0,229.68724,488,18483,6806,14336,0,3,133
400813995,77005.05,229.72665,488,18683,4637,14336,0,3,133
401815253,77242.86,229.74986,488,18887,8259,14336,0,3,133
402815477,77476.0,229.75978,490,19098,7900,14336,0,3,133
403816225,77718.266,229.79622,490,19298,6789,14336,0,3,133
404817211,77961.305,229.83461,491,19504,3989,14336,0,3,133
405817463,78194.37,229.84393,493,19708,10709,14336,0,3,133
406817974,78436.69,229.88014,498,19914,3836,14336,0,3,133
407818673,78670.05,229.88983,501,20128,5434,14336,0,3,133
