timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
64652311,0,0,96,102,97,47,63
68607304,0,0,86,90,97,45,53
69652094,0,0,89,94,93,50,62
70668303,0,0,89,96,100,48,62
71606328,0,0,84,89,100,46,64
72651727,0,0,82,88,97,45,66
73683309,0,0,73,86,93,46,61
74615194,0,0,72,82,100,49,60
75658306,0,0,77,82,100,47,59
76702308,0,0,77,81,97,50,61
77622311,0,0,84,88,100,46,62
78782699,0,0,80,88,100,46,62
79695156,0,0,77,80,100,45,64
80612317,0,0,74,81,95,43,62
81657546,0,0,81,87,100,49,64
82713197,0,0,87,90,100,49,61
83622304,0,0,88,94,93,46,64
85617311,0,0,99,104,100,46,57
86642188,0,0,99,105,97,47,52
87671955,0,0,100,105,100,46,62
88707498,0,0,102,106,94,42,58
89605388,0,0,102,107,100,48,62
90672389,0,0,102,106,100,45,56
91627324,0,0,102,106,98,44,68
93687543,0,0,102,105,100,47,56
94605384,0,0,98,102,100,47,57
95658309,0,0,95,100,95,46,64
96681496,0,0,92,97,98,49,56
97618305,0,0,92,98,100,46,62
98641587,0,0,92,97,100,46,59
100625594,0,0,92,99,100,46,65
101646405,0,0,91,95,100,44,64
102618434,0,0,92,98,98,49,60
103632406,0,0,83,90,97,46,62
104668348,0,0,81,88,100,48,60
105706306,0,0,84,89,98,46,66
106641459,0,0,82,89,100,48,63
107668345,0,0,84,91,97,44,64
108721448,0,0,83,90,97,47,57
109757886,0,0,83,90,93,46,64
110681613,0,0,82,88,100,44,64
111612481,0,0,87,90,98,48,64
112636314,0,0,82,91,97,44,60
113922906,2,0,76,91,93,49,59
114603313,2,0,70,91,100,50,59
116675566,4,0,70,76,100,48,65
117626300,4,0,75,80,98,50,70
120608306,4,0,89,98,100,47,38
121665345,4,0,95,100,100,48,47
122687318,4,0,90,101,97,43,49
123621578,4,0,91,92,97,45,48
124657456,4,0,97,100,100,48,51
125716409,4,0,95,96,95,45,58
126628470,4,0,102,103,97,47,57
127662306,4,0,106,110,96,46,57
128628302,4,0,106,110,100,44,53
129636300,4,0,106,110,100,50,56
130685501,4,0,106,110,97,48,59
131611970,4,0,106,110,100,46,58
132641630,4,0,106,110,100,46,58
133671757,4,0,107,109,100,48,58
134616422,4,0,107,111,97,46,54
135668409,4,0,107,111,96,43,58
136687564,4,0,107,111,100,46,60
137618306,4,0,107,110,100,49,56
138662248,4,0,103,106,87,44,59
139683316,4,0,101,104,100,51,59
140612386,4,0,101,104,100,47,56
142695722,4,0,97,104,95,45,54
143732370,4,0,96,99,100,45,52
144656082,4,0,96,100,100,47,59
145608449,4,0,102,103,100,49,53
146618332,4,0,105,107,100,50,57
147672407,4,0,105,108,100,53,48
148703476,4,0,105,108,98,48,58
149642820,4,0,89,97,95,45,61
152627311,4,0,84,90,98,44,44
153667513,4,0,89,91,94,43,62
154628308,4,0,89,92,97,48,55
155641452,4,0,89,93,100,46,50
156672429,4,0,89,93,100,48,60
157608348,4,0,108,111,97,48,51
158647313,4,0,116,117,100,49,40
159672427,4,0,106,108,100,54,53
160622178,4,0,99,101,100,48,57
161683543,4,0,98,99,100,46,56
162692320,4,0,97,99,100,44,54
