timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
50796133,50796133,12,45,0,0,30004,1499,1508,1508,1504,1505,1257,1905,1105,1505,1106,1505,1257,0,0,0,0,0,0,0,0,2
50996154,50996154,12,45,0,0,30003,1499,1508,1507,1504,1505,1258,1905,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
51197112,51197112,12,45,0,0,30003,1499,1508,1507,1504,1505,1257,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
51405024,51405024,12,45,0,0,30003,1499,1508,1507,1504,1505,1257,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
51607376,51607376,12,45,0,0,30003,1498,1509,1507,1504,1505,1257,1905,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
51804153,51804153,12,45,0,0,30003,1498,1508,1507,1504,1506,1257,1905,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
52016216,52016216,12,45,0,0,30003,1498,1508,1507,1504,1505,1258,1905,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
52217757,52217757,12,45,0,0,30003,1498,1508,1507,1504,1505,1257,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
52416927,52416927,12,45,0,0,30004,1499,1508,1507,1504,1505,1257,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
52632155,52632155,12,45,0,0,30003,1498,1509,1507,1504,1505,1257,1905,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
52812968,52812968,12,45,0,0,30003,1498,1508,1507,1505,1505,1257,1905,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
53033156,53033156,12,45,0,0,30003,1498,1508,1507,1504,1506,1257,1905,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
53230654,53230654,12,45,0,0,30003,1499,1508,1506,1504,1505,1258,1905,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
53436985,53436985,12,45,0,0,30003,1499,1508,1507,1504,1505,1257,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
53632177,53632177,12,45,0,0,30003,1499,1508,1508,1504,1505,1257,1905,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
53833016,53833016,12,45,0,0,30003,1499,1508,1507,1505,1505,1257,1905,1105,1505,1106,1505,1257,0,0,0,0,0,0,0,0,2
54049172,54049172,12,45,0,0,30003,1498,1509,1507,1504,1506,1257,1905,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
