timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
133044130,1564130773200111,490898238,21104313,85409,131435,0.24700001,0.58261687,0.605,1.115,0.65999997,0.94,93,9,0.048,0.030000001,-0.037,0.081,3.6552696,0,nan,0.0,3,1,16
133232105,1564130773400111,490898238,21104313,85396,131422,0.26000002,0.5826291,0.60300004,1.1120001,0.65999997,0.94,93,11,0.012,-0.008,0.008,-0.043,3.6552696,0,nan,0.0,3,1,16
133843176,1564130774000111,490898239,21104313,85361,131387,0.26500002,0.58266175,0.597,1.103,0.65999997,0.94,93,11,0.011000001,0.010000001,0.0050000004,-0.078,3.6552696,0,nan,0.0,3,1,16
134030532,1564130774200111,490898239,21104313,85359,131384,0.26000002,0.58267397,0.595,1.1,0.65999997,0.94,93,11,0.020000001,-0.013,0.015000001,-0.082,3.6552696,0,nan,0.0,3,1,16
134234932,1564130774400111,490898239,21104314,85355,131380,0.24400002,0.5826855,0.59300005,1.098,0.65999997,0.94,93,10,0.052,-0.009000001,0.051000003,-0.064,3.6552696,0,nan,0.0,3,1,16
134427301,1564130774600111,490898239,21104315,85360,131386,0.21900001,0.5826958,0.591,1.095,0.65999997,0.94,93,10,0.024,-0.024,0.0,-0.034,3.6552696,0,nan,0.0,3,1,16
134631116,1564130774800112,490898238,21104315,85351,131377,0.22500001,0.5827064,0.58900005,1.092,0.65999997,0.94,93,10,0.059000004,-0.021000002,0.056,-0.048,3.6552696,0,nan,0.0,3,1,16
134832056,1564130775000112,490898239,21104317,85361,131387,0.25100002,0.5827181,0.588,1.09,0.65999997,0.94,93,10,0.018000001,-0.0050000004,0.017,0.058000002,3.6552696,0,nan,0.0,3,1,16
135032057,1564130775200112,490898239,21104316,85348,131373,0.19000001,0.5827272,0.586,1.088,0.65999997,0.94,93,10,0.047000002,0.038000003,-0.028,-0.010000001,3.6552696,0,nan,0.0,3,1,16
135232184,1564130775400112,490898240,21104316,85334,131360,0.266,0.5827396,0.58500004,1.0860001,0.65999997,0.94,93,9,0.018000001,0.007,0.017,-0.07300001,3.6552696,0,nan,0.0,3,1,16
