timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
133185271,32767,32767,32767,32767,32767,32767,32767
133189285,32767,32767,32767,32767,32767,32767,32767
133193271,32767,32767,32767,32767,-65,-64,32767
133197326,32767,32767,32767,32767,32767,32767,32767
133201284,32767,32767,32767,32767,32767,-39,32767
133205271,32767,32767,32767,32767,32767,32767,32767
133209271,32767,32767,32767,32767,32767,32767,32767
133213271,32767,32767,32767,32767,-62,-72,32767
133217322,32767,32767,32767,32767,32767,32767,32767
133221314,32767,32767,32767,32767,32767,-40,32767
133225271,32767,32767,32767,32767,-66,32767,32767
133229270,32767,32767,32767,32767,32767,32767,32767
133233271,32767,32767,32767,32767,-42,-72,32767
133237301,32767,32767,-52,32767,32767,32767,32767
133241271,32767,32767,32767,32767,32767,32767,32767
133245277,32767,32767,32767,32767,32767,32767,32767
133249278,32767,32767,32767,32767,32767,-40,32767
133253271,32767,32767,32767,32767,32767,32767,32767
133257316,32767,32767,32767,32767,-63,32767,32767
133261271,32767,32767,32767,32767,32767,-64,32767
133265277,32767,32767,32767,32767,32767,32767,32767
133269271,32767,32767,32767,32767,-70,-40,32767
133273270,32767,32767,32767,32767,32767,32767,32767
133277326,32767,32767,32767,32767,-43,32767,32767
133281271,32767,32767,32767,32767,32767,-64,32767
133285291,32767,32767,32767,32767,32767,32767,32767
133289287,32767,32767,32767,32767,32767,-40,32767
133293271,32767,32767,32767,32767,32767,32767,32767
133297317,32767,32767,32767,32767,32767,32767,32767
133301271,32767,32767,32767,32767,-62,-64,32767
133305281,32767,32767,32767,32767,32767,32767,32767
133309271,32767,32767,32767,32767,-41,-40,32767
133313271,32767,32767,32767,32767,32767,32767,32767
133317323,32767,32767,32767,32767,32767,32767,32767
133321271,32767,32767,32767,32767,-52,-64,32767
133325278,32767,32767,32767,32767,32767,32767,32767
133329271,32767,32767,32767,32767,32767,-40,32767
133333271,32767,32767,32767,32767,32767,32767,32767
133337345,32767,32767,32767,32767,32767,32767,32767
133341271,32767,32767,32767,32767,-41,-72,32767
133345287,32767,32767,32767,32767,32767,32767,32767
133349271,32767,32767,32767,32767,32767,-40,32767
133353271,32767,32767,32767,32767,-58,32767,32767
133357296,32767,32767,32767,32767,32767,32767,32767
133361271,32767,32767,32767,32767,32767,-72,32767
133365291,32767,32767,32767,32767,-71,32767,32767
133369284,32767,32767,32767,32767,32767,-40,32767
133373271,32767,32767,32767,32767,32767,32767,32767
133377296,32767,32767,32767,32767,32767,32767,32767
133381270,32767,32767,32767,32767,32767,-72,32767
133385283,32767,32767,32767,32767,-42,32767,32767
133389275,32767,32767,32767,32767,32767,-40,32767
133393271,32767,32767,32767,32767,32767,32767,32767
133397296,32767,32767,32767,32767,-47,32767,32767
133401271,32767,32767,32767,32767,32767,-72,32767
133405277,32767,32767,32767,32767,32767,32767,32767
133409271,32767,32767,32767,32767,-62,-40,32767
133413295,32767,32767,32767,32767,32767,32767,32767
133721284,32767,32767,32767,32767,32767,32767,32767
133725280,32767,32767,32767,32767,32767,-40,32767
133729281,32767,32767,32767,32767,32767,32767,32767
133733271,32767,32767,32767,32767,-41,32767,32767
133737304,32767,32767,32767,32767,32767,-73,32767
133741324,32767,32767,32767,32767,32767,32767,32767
133745277,32767,32767,32767,32767,-52,-39,32767
133749271,32767,32767,32767,32767,32767,32767,32767
133753289,32767,32767,32767,32767,32767,32767,32767
133757307,32767,32767,32767,32767,-72,-73,32767
133813271,32767,32767,32767,32767,32767,-39,32767
133817301,32767,32767,32767,32767,32767,32767,32767
133821271,32767,32767,32767,32767,32767,32767,32767
133825271,32767,32767,32767,32767,-59,-64,32767
133829309,32767,32767,32767,32767,32767,32767,32767
133833271,32767,32767,32767,32767,32767,-39,32767
133837330,32767,32767,32767,32767,-72,32767,32767
133841277,32767,32767,32767,32767,32767,32767,32767
133845279,32767,32767,32767,32767,32767,-56,32767
133849305,32767,32767,-62,32767,-63,32767,32767
133853271,32767,32767,32767,32767,32767,-40,32767
133857338,32767,32767,32767,32767,32767,32767,32767
133861271,32767,32767,32767,32767,32767,32767,32767
133865296,32767,32767,32767,32767,32767,-64,32767
133869291,32767,32767,32767,32767,32767,32767,32767
133873288,32767,32767,32767,32767,-61,-40,32767
133877299,32767,32767,32767,32767,32767,32767,32767
133881271,32767,32767,32767,32767,-37,32767,32767
133885271,32767,32767,32767,32767,32767,-56,32767
133889276,32767,32767,32767,32767,32767,32767,32767
133893273,32767,32767,32767,32767,-49,-40,32767
133897328,32767,32767,32767,32767,32767,32767,32767
133901271,32767,32767,32767,32767,32767,32767,32767
133905271,32767,32767,32767,32767,32767,-72,32767
133909310,32767,32767,32767,32767,32767,32767,32767
133913277,32767,32767,32767,32767,32767,-39,32767
133916499,32767,32767,32767,32767,-61,32767,32767
133921270,32767,32767,32767,32767,32767,32767,32767
133925271,32767,32767,32767,32767,-42,-72,32767
133929277,32767,32767,32767,32767,32767,32767,32767
133933271,32767,32767,32767,32767,32767,-40,32767
133937339,32767,32767,32767,32767,-50,32767,32767
133941271,32767,32767,32767,32767,32767,32767,32767
133945270,32767,32767,32767,32767,32767,-72,32767
133949289,32767,32767,32767,32767,32767,32767,32767
133953270,32767,32767,32767,32767,32767,-48,32767
133957349,32767,32767,32767,32767,-43,32767,32767
133961281,32767,32767,32767,32767,32767,32767,32767
133965271,32767,32767,32767,32767,32767,-72,32767
133969271,32767,32767,32767,32767,-62,32767,32767
133973296,32767,32767,32767,32767,32767,32767,32767
133977367,32767,32767,32767,32767,32767,32767,32767
133981271,32767,32767,32767,32767,-71,32767,32767
133985277,32767,32767,32767,32767,32767,-72,32767
133989270,32767,32767,32767,32767,32767,32767,32767
133993270,32767,32767,32767,32767,32767,-64,32767
133997315,32767,32767,32767,32767,32767,32767,32767
134001271,32767,32767,32767,32767,-52,-39,32767
134005294,32767,32767,32767,32767,32767,32767,32767
134009270,32767,32767,32767,32767,32767,32767,32767
134013271,32767,32767,32767,32767,-62,-64,32767
134017360,32767,32767,32767,32767,32767,32767,32767
134021271,32767,32767,32767,32767,32767,-39,32767
134025274,32767,32767,32767,32767,-62,32767,32767
134029272,32767,32767,32767,32767,32767,32767,32767
134033293,32767,32767,32767,32767,32767,-64,32767
134037368,32767,32767,32767,32767,32767,32767,32767
134041273,32767,32767,-107,32767,32767,-39,32767
134045271,32767,32767,32767,32767,-42,32767,32767
134049270,32767,32767,32767,32767,32767,32767,32767
134053271,32767,32767,32767,32767,32767,-64,32767
134057330,32767,32767,32767,32767,-53,32767,32767
134061270,32767,32767,32767,32767,32767,-39,32767
134065280,32767,32767,32767,32767,32767,32767,32767
134069271,32767,32767,32767,32767,-62,32767,32767
134073271,32767,32767,32767,32767,32767,-56,32767
134077304,32767,32767,32767,32767,32767,32767,32767
134081277,32767,32767,32767,32767,32767,-40,32767
134085273,32767,32767,32767,32767,32767,32767,32767
134089292,32767,32767,32767,32767,-41,32767,32767
134093271,32767,32767,32767,32767,32767,-72,32767
134097303,32767,32767,32767,32767,32767,32767,32767
134101271,32767,32767,32767,32767,-47,-40,32767
134105278,32767,32767,32767,32767,32767,32767,32767
134109271,32767,32767,32767,32767,32767,32767,32767
134113271,32767,32767,32767,32767,-67,-72,32767
134117352,32767,32767,32767,32767,32767,32767,32767
134121281,32767,32767,32767,32767,32767,-39,32767
134125301,32767,32767,32767,32767,32767,32767,32767
134129270,32767,32767,32767,32767,32767,32767,32767
134133271,32767,32767,32767,32767,-42,-72,32767
134137303,32767,32767,32767,32767,32767,32767,32767
134141271,32767,32767,32767,32767,32767,-40,32767
134145314,32767,32767,32767,32767,-50,32767,32767
134149271,32767,32767,32767,32767,32767,32767,32767
134153270,32767,32767,32767,32767,32767,-72,32767
134157302,32767,32767,32767,32767,-63,32767,32767
134161271,32767,32767,32767,32767,32767,32767,32767
134165320,32767,32767,32767,32767,32767,32767,32767
134173270,32767,32767,32767,32767,32767,32767,32767
134177298,32767,32767,32767,32767,-41,32767,32767
134181271,32767,32767,32767,32767,32767,-64,32767
134185286,32767,32767,32767,32767,32767,32767,32767
134189271,32767,32767,32767,32767,-49,-40,32767
134193282,32767,32767,32767,32767,32767,32767,32767
134197298,32767,32767,32767,32767,32767,32767,32767
134201271,32767,32767,32767,32767,-62,-64,32767
134205277,32767,32767,32767,32767,32767,32767,32767
134209273,32767,32767,32767,32767,32767,-40,32767
134213271,32767,32767,32767,32767,32767,32767,32767
134217301,32767,32767,32767,32767,32767,32767,32767
134221287,32767,32767,32767,32767,-42,-64,32767
134225277,32767,32767,32767,32767,32767,32767,32767
134229302,32767,32767,32767,32767,32767,-41,32767
134233278,32767,32767,32767,32767,-48,32767,32767
134237303,32767,32767,-24,32767,32767,32767,32767
134241271,32767,32767,32767,32767,32767,-64,32767
134245278,32767,32767,32767,32767,-62,32767,32767
134249277,32767,32767,32767,32767,32767,-40,32767
134253271,32767,32767,32767,32767,32767,32767,32767
134257345,32767,32767,32767,32767,32767,32767,32767
134261274,32767,32767,32767,32767,32767,-56,32767
134265277,32767,32767,32767,32767,-41,32767,32767
134269270,32767,32767,32767,32767,32767,-40,32767
134273277,32767,32767,32767,32767,32767,32767,32767
134277296,32767,32767,32767,32767,-47,32767,32767
134281279,32767,32767,32767,32767,32767,-72,32767
134285295,32767,32767,32767,32767,32767,32767,32767
134289271,32767,32767,32767,32767,-62,-40,32767
134293333,32767,32767,32767,32767,32767,32767,32767
134297296,32767,32767,32767,32767,32767,32767,32767
134301286,32767,32767,32767,32767,32767,-72,32767
134305276,32767,32767,32767,32767,32767,32767,32767
134309271,32767,32767,32767,32767,-42,-40,32767
134313298,32767,32767,32767,32767,32767,32767,32767
134317296,32767,32767,32767,32767,32767,32767,32767
134321272,32767,32767,32767,32767,-52,-72,32767
134325277,32767,32767,32767,32767,32767,32767,32767
134329271,32767,32767,32767,32767,32767,-40,32767
134333300,32767,32767,32767,32767,-63,32767,32767
134337296,32767,32767,32767,32767,32767,32767,32767
134341291,32767,32767,32767,32767,32767,-72,32767
134345271,32767,32767,32767,32767,32767,32767,32767
134349270,32767,32767,32767,32767,32767,32767,32767
134353277,32767,32767,32767,32767,-42,32767,32767
134357296,32767,32767,32767,32767,32767,-40,32767
134361270,32767,32767,32767,32767,32767,32767,32767
134365271,32767,32767,32767,32767,-52,32767,32767
134369271,32767,32767,32767,32767,32767,-64,32767
134373277,32767,32767,32767,32767,32767,32767,32767
134377332,32767,32767,32767,32767,-63,-41,32767
134381271,32767,32767,32767,32767,32767,32767,32767
134385271,32767,32767,32767,32767,32767,32767,32767
134389271,32767,32767,32767,32767,32767,-64,32767
134393276,32767,32767,32767,32767,32767,32767,32767
134397311,32767,32767,32767,32767,-43,-41,32767
134401310,32767,32767,32767,32767,32767,32767,32767
134405271,32767,32767,32767,32767,32767,32767,32767
134409271,32767,32767,32767,32767,-52,-64,32767
134413277,32767,32767,32767,32767,32767,32767,32767
134417311,32767,32767,32767,32767,32767,-41,32767
134421320,32767,32767,32767,32767,-63,32767,32767
134425271,32767,32767,32767,32767,32767,32767,32767
134428485,32767,32767,32767,32767,32767,-56,32767
134433278,32767,32767,32767,32767,32767,32767,32767
134437302,32767,32767,-100,32767,32767,-41,32767
134441302,32767,32767,32767,32767,-43,32767,32767
134445271,32767,32767,32767,32767,32767,32767,32767
134449271,32767,32767,32767,32767,32767,-72,32767
134453277,32767,32767,32767,32767,-52,32767,32767
134457296,32767,32767,32767,32767,32767,-40,32767
134461321,32767,32767,32767,32767,32767,32767,32767
134465271,32767,32767,32767,32767,-62,32767,32767
134469271,32767,32767,32767,32767,32767,-72,32767
134473277,32767,32767,32767,32767,32767,32767,32767
134477296,32767,32767,32767,32767,32767,-40,32767
134481322,32767,32767,32767,32767,32767,32767,32767
134485271,32767,32767,32767,32767,-42,32767,32767
134489271,32767,32767,32767,32767,32767,-72,32767
134493277,32767,32767,32767,32767,32767,32767,32767
134497296,32767,32767,32767,32767,-52,-40,32767
134501270,32767,32767,32767,32767,32767,32767,32767
134505271,32767,32767,32767,32767,32767,32767,32767
134509287,32767,32767,32767,32767,-62,-72,32767
134513277,32767,32767,32767,32767,32767,32767,32767
134517296,32767,32767,32767,32767,32767,-40,32767
134521274,32767,32767,32767,32767,32767,32767,32767
134525270,32767,32767,32767,32767,32767,32767,32767
134529291,32767,32767,32767,32767,32767,-72,32767
134533271,32767,32767,32767,32767,-71,32767,32767
134537321,32767,32767,32767,32767,32767,32767,32767
134541277,32767,32767,32767,32767,-51,32767,32767
134545284,32767,32767,32767,32767,32767,-40,32767
134549281,32767,32767,32767,32767,32767,32767,32767
134553271,32767,32767,32767,32767,-62,32767,32767
134557321,32767,32767,32767,32767,32767,-64,32767
134561277,32767,32767,32767,32767,32767,32767,32767
134565320,32767,32767,32767,32767,32767,-41,32767
134569280,32767,32767,32767,32767,32767,32767,32767
134573282,32767,32767,32767,32767,-52,32767,32767
134577298,32767,32767,32767,32767,32767,-64,32767
134581277,32767,32767,32767,32767,32767,32767,32767
134585284,32767,32767,32767,32767,-62,-40,32767
134589295,32767,32767,32767,32767,32767,32767,32767
134593271,32767,32767,32767,32767,32767,32767,32767
134597318,32767,32767,32767,32767,-72,-65,32767
134601276,32767,32767,32767,32767,32767,32767,32767
134605271,32767,32767,32767,32767,32767,-40,32767
134609280,32767,32767,32767,32767,32767,32767,32767
134613271,32767,32767,32767,32767,32767,32767,32767
134617338,32767,32767,32767,32767,-53,-65,32767
134621312,32767,32767,32767,32767,32767,32767,32767
134625281,32767,32767,32767,32767,32767,-39,32767
134629332,32767,32767,32767,32767,-71,32767,32767
134633280,32767,32767,32767,32767,32767,32767,32767
134637330,32767,32767,-62,32767,32767,-73,32767
134641277,32767,32767,32767,32767,-67,32767,32767
134645270,32767,32767,32767,32767,32767,-40,32767
134649276,32767,32767,32767,32767,32767,32767,32767
134653271,32767,32767,32767,32767,32767,32767,32767
134657344,32767,32767,32767,32767,32767,-73,32767
134661277,32767,32767,32767,32767,-49,32767,32767
134665270,32767,32767,32767,32767,32767,-40,32767
134669289,32767,32767,32767,32767,32767,32767,32767
134673270,32767,32767,32767,32767,-62,32767,32767
134677326,32767,32767,32767,32767,32767,-72,32767
134681277,32767,32767,32767,32767,32767,32767,32767
134685271,32767,32767,32767,32767,-68,-40,32767
134689270,32767,32767,32767,32767,32767,32767,32767
134693270,32767,32767,32767,32767,32767,32767,32767
134697330,32767,32767,32767,32767,32767,-73,32767
134701277,32767,32767,32767,32767,32767,32767,32767
134705291,32767,32767,32767,32767,-48,-40,32767
134709271,32767,32767,32767,32767,32767,32767,32767
134713284,32767,32767,32767,32767,32767,32767,32767
134717341,32767,32767,32767,32767,-63,-73,32767
134721271,32767,32767,32767,32767,32767,32767,32767
134725287,32767,32767,32767,32767,32767,-64,32767
134729277,32767,32767,32767,32767,-61,32767,32767
134733320,32767,32767,32767,32767,32767,-41,32767
