timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
50802870,32767,32767,32767,32767,32767,32767,32767
50806889,32767,32767,32767,32767,-70,-72,32767
50810114,32767,32767,32767,32767,32767,32767,32767
50818116,32767,32767,32767,32767,32767,32767,32767
50822869,32767,32767,32767,32767,32767,32767,32767
50826896,32767,32767,32767,32767,-58,-71,32767
50830916,32767,32767,32767,32767,32767,32767,32767
50834869,32767,32767,32767,32767,32767,-39,32767
50838108,32767,32767,32767,32767,-60,32767,32767
50842870,32767,32767,32767,32767,32767,32767,32767
50846869,32767,32767,32767,32767,32767,-72,32767
50850869,32767,32767,32767,32767,-70,32767,32767
50854869,32767,32767,32767,32767,32767,-56,32767
50858117,32767,32767,32767,32767,32767,32767,32767
50862869,32767,32767,32767,32767,32767,32767,32767
50866871,32767,32767,32767,32767,32767,-72,32767
50874101,32767,32767,32767,32767,32767,-57,32767
50877319,32767,32767,32767,32767,32767,32767,32767
50881270,32767,32767,32767,32767,-58,32767,32767
50885307,32767,32767,32767,32767,32767,-57,32767
50889270,32767,32767,32767,32767,32767,32767,32767
50893270,32767,32767,32767,32767,-71,-48,32767
50897270,32767,32767,32767,32767,32767,32767,32767
50901270,32767,32767,32767,32767,32767,32767,32767
50905275,32767,32767,32767,32767,32767,-64,32767
50909270,32767,32767,32767,32767,32767,32767,32767
50913273,32767,32767,32767,32767,32767,-48,32767
50917270,32767,32767,32767,32767,-71,32767,32767
50921270,32767,32767,-101,32767,32767,32767,32767
50925276,32767,32767,32767,32767,-42,-63,32767
50929270,32767,32767,32767,32767,32767,32767,32767
50932504,32767,32767,32767,32767,32767,-41,32767
50936470,32767,32767,32767,32767,-44,32767,32767
50940470,32767,32767,32767,32767,32767,32767,32767
50944514,32767,32767,32767,32767,32767,-57,32767
50948470,32767,32767,32767,32767,32767,32767,32767
50952514,32767,32767,32767,32767,32767,-49,32767
50956470,32767,32767,32767,32767,32767,32767,32767
50960470,32767,32767,32767,32767,-62,32767,32767
