timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
133185342,133185271,0.0017547193,0.0055145267,0.6610581,-0.0,0.0,0.0,0.0,-1.0
133189357,133189285,0.0012926017,0.005362396,0.66098624,-0.0,0.0,0.0,0.0,-1.0
133193343,133193271,0.00062418956,0.0049250247,0.66092044,-0.0,0.0,0.0,0.0,-1.0
133197396,133197326,0.00012497154,0.005215226,0.66090053,-0.0,0.0,0.0,0.0,-1.0
133201355,133201284,0.00014708366,0.005277998,0.6608697,-0.0,0.0,0.0,0.0,-1.0
133205340,133205271,0.0004350124,0.005447878,0.66079,-0.0,0.0,0.0,0.0,-1.0
133209382,133209271,0.00035193237,0.0053299675,0.6607489,-0.0,0.0,0.0,0.0,-1.0
133213353,133213271,0.00059952127,0.0050710817,0.66078115,-0.0,0.0,0.0,0.0,-1.0
133217392,133217322,0.001005426,0.0052134283,0.6608275,-0.0,0.0,0.0,0.0,-1.0
133221386,133221314,0.00063729775,0.005573211,0.66080445,-0.0,0.0,0.0,0.0,-1.0
133225340,133225271,0.0003685447,0.005694956,0.66085124,-0.0,0.0,0.0,0.0,-1.0
133229381,133229270,0.00082318747,0.005395698,0.66099024,-0.0,0.0,0.0,0.0,-1.0
133233340,133233271,0.0008673483,0.005160026,0.6611256,-0.0,0.0,0.0,0.0,-1.0
133237371,133237301,0.00069378596,0.004923054,0.6611535,-0.0,0.0,0.0,0.0,-1.0
133241340,133241271,0.00051349256,0.0050668814,0.66118413,-0.0,0.0,0.0,0.0,-1.0
133245383,133245277,0.00015497349,0.0053090625,0.6611602,-0.0,0.0,0.0,0.0,-1.0
133249377,133249278,0.00028597674,0.005227616,0.6610661,-0.0,0.0,0.0,0.0,-1.0
133253341,133253271,0.0009185587,0.005971371,0.6609741,-0.0,0.0,0.0,0.0,-1.0
133257394,133257316,0.0010642715,0.005793106,0.6609985,-0.0,0.0,0.0,0.0,-1.0
133261340,133261271,0.0011314304,0.005316458,0.66104287,-0.0,0.0,0.0,0.0,-1.0
133265372,133265277,0.0009504602,0.0051382873,0.66104627,-0.0,0.0,0.0,0.0,-1.0
133269382,133269271,0.0013636991,0.0056617074,0.661078,-0.0,0.0,0.0,0.0,-1.0
133273340,133273270,0.0013231339,0.0051890537,0.66109365,-0.0,0.0,0.0,0.0,-1.0
133277406,133277326,0.00062078575,0.0048946324,0.661093,-0.0,0.0,0.0,0.0,-1.0
133281340,133281271,-0.00014755923,0.005317757,0.66108054,-0.0,0.0,0.0,0.0,-1.0
133285368,133285291,6.9377245e-05,0.005573992,0.66114545,-0.0,0.0,0.0,0.0,-1.0
133289383,133289287,0.0006386426,0.005427034,0.6612021,-0.0,0.0,0.0,0.0,-1.0
133293353,133293271,0.00088938844,0.005216877,0.66117513,-0.0,0.0,0.0,0.0,-1.0
133297400,133297317,0.0009024546,0.00535739,0.66112673,-0.0,0.0,0.0,0.0,-1.0
133301340,133301271,0.0003730162,0.0050956625,0.6611682,-0.0,0.0,0.0,0.0,-1.0
133305351,133305281,0.00040487727,0.0054137064,0.66116065,-0.0,0.0,0.0,0.0,-1.0
133309340,133309271,0.0009611001,0.0054761367,0.6610748,-0.0,0.0,0.0,0.0,-1.0
