timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
133174583,133174583,12,45,0,0,30003,1098,1508,1506,1423,1505,1106,1905,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
133370660,133370660,12,45,0,0,30003,1098,1508,1506,1431,1505,1105,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
133986543,133986543,12,45,0,0,30003,1098,1508,1506,1420,1506,1105,1905,1105,1505,1105,1505,1258,0,0,0,0,0,0,0,0,2
134186596,134186596,12,45,0,0,30003,1098,1508,1506,1416,1505,1106,1905,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
134386570,134386570,12,45,0,0,30003,1098,1508,1505,1417,1505,1105,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
134606553,134606553,12,45,0,0,30003,1098,1507,1506,1466,1505,1105,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
134810576,134810576,12,45,0,0,30003,1497,1509,1514,1504,1505,1257,1905,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
134994580,134994580,12,45,0,0,30003,1498,1509,1553,1504,1505,1257,1905,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
135195602,135195602,12,45,0,0,30003,1498,1508,1507,1505,1506,1257,1905,1105,1505,1105,1506,1257,0,0,0,0,0,0,0,0,2
135397774,135397774,12,45,0,0,30003,1499,1508,1506,1505,1505,1257,1906,1105,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
135600967,135600967,12,45,0,0,30004,1631,1509,1506,1505,1505,1257,1905,1106,1505,1105,1505,1257,0,0,0,0,0,0,0,0,2
135817974,135817974,12,45,0,0,30004,1670,1508,1507,1505,1505,1257,1905,1105,1506,1105,1505,1257,0,0,0,0,0,0,0,0,2
