timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
349539869,-0.0026925842,-0.0025087195,-0.00025712285,4000,0,0.019678753,-0.03124935,-9.701843,4000
349543881,-0.0010965077,-0.0022934075,-0.00046396154,4012,0,0.028769601,-0.044618633,-9.69651,4012
349547887,-0.0023802468,0.0006850076,-0.0008090981,4006,0,0.025360957,-0.05367202,-9.696038,4006
349551892,-0.002690433,0.00014581102,-0.0009100088,4005,0,0.024504034,-0.03615336,-9.700315,4005
349555869,-0.00044778877,-0.0007071829,-0.0016419102,3977,0,0.026878582,-0.0389153,-9.705099,3977
349559869,-0.002357716,0.0001481832,0.0004681485,4000,0,0.035527702,-0.043711882,-9.70927,4000
349563869,-0.0037629593,0.0009028457,0.00025511856,4000,0,0.033540864,-0.027861424,-9.699392,4000
349567869,-0.002893253,-0.002613724,-0.0013148569,4000,0,0.03560015,-0.03899369,-9.712161,4000
349571114,-0.0030789755,-0.00015086918,0.000316584,3245,0,0.03520224,-0.044082563,-9.708177,3245
349575069,-0.004823512,0.00025506283,0.0012060966,3955,0,0.021065513,-0.04316624,-9.690854,3955
349579105,-0.0029063616,-0.0015424748,0.00058783486,4036,0,0.038401175,-0.04567282,-9.711624,4036
349583070,-0.004733544,6.1401406e-05,0.0009934729,3965,0,0.05193263,-0.040925153,-9.709174,3965
349587069,-0.0022710373,4.4318676e-05,0.00059282035,3999,0,0.04087798,-0.037962362,-9.712111,3999
349591088,-0.0026926512,-0.0006052067,-0.001443635,4019,0,0.03029203,-0.03993468,-9.711166,4019
349595069,-0.0035414244,0.0010869104,-0.0017752185,3981,0,0.043123033,-0.0508101,-9.687887,3981
349598295,-0.0033370464,0.001561149,-0.00035834883,3226,0,0.0345633,-0.05717753,-9.702852,3226
349602269,-0.003017309,0.0010077702,0.001426588,3974,0,0.030690055,-0.04507731,-9.693635,3974
349606269,-0.0022798216,-0.00028743126,0.001016342,4000,0,0.033932555,-0.03684958,-9.689846,4000
349610269,-0.0036519542,-0.000272628,4.5586432e-05,4000,0,0.029278947,-0.026471397,-9.701824,4000
349614269,-0.003877137,-0.0017589814,0.0014472152,4000,0,0.039855085,-0.02738579,-9.703548,4000
349618298,-0.0009972095,-0.00048805246,0.000593076,4029,0,0.039341386,-0.03320806,-9.700326,4029
349622269,-0.0012128315,-0.00090436323,0.0018692807,3971,0,0.036554743,-0.048559677,-9.720561,3971
349625484,-0.001871309,-0.002427036,6.2717285e-05,3215,0,0.05451529,-0.0447768,-9.728927,3215
349629503,-0.0020577023,-0.000264014,0.0012297182,4019,0,0.056826036,-0.031433832,-9.744386,4019
349634269,-0.0017636217,-0.0012324287,-0.0001347778,4766,0,0.058749095,-0.0324216,-9.724134,4766
349638271,7.8043464e-05,-0.0011302738,-0.0011038943,4002,0,0.05859248,-0.02937625,-9.709263,4002
349642283,-0.002675699,-0.0016642566,-0.0016540608,4012,0,0.05492959,-0.020875236,-9.734389,4012
349646311,-0.0022777994,-0.0010311495,6.632224e-05,4028,0,0.050388288,-0.028000785,-9.706655,4028
349650268,-0.0024891114,-0.0012182624,0.0011248088,3957,0,0.032536276,-0.037995882,-9.704347,3957
349654269,-0.001637593,-0.0013292802,-5.2189604e-05,4001,0,0.044248488,-0.045281347,-9.727191,4001
349658291,-0.0004670499,-0.00027135003,0.0008044184,4022,0,0.040814117,-0.038940977,-9.71212,4022
349662269,-0.0034381978,-0.0010352471,-0.0003852532,3978,0,0.029763106,-0.040315647,-9.706932,3978
349665493,-0.0026713763,-0.001085028,0.0013827676,3224,0,0.031667218,-0.05907906,-9.72055,3224
349669504,-0.0024894157,0.0014487862,0.00090483617,4011,0,0.047560584,-0.05465352,-9.708781,4011
349673469,-0.0018458745,0.0009921067,0.00036384765,3965,0,0.042294,-0.04046737,-9.724518,3965
349677476,-0.0021625087,0.0004675025,-0.00048335845,4007,0,0.05872037,-0.021846386,-9.733945,4007
349681487,-0.002903375,-0.0012311473,-0.0002654869,4011,0,0.049459867,-0.0342157,-9.71163,4011
349685502,-0.0016227447,-0.0017708007,-0.0015293026,4015,0,0.045222346,-0.05238924,-9.721515,4015
349689504,-0.0020427764,-0.0012228438,-0.0005824981,4002,0,0.036612682,-0.04864552,-9.731137,4002
349693469,-0.0017358899,-0.00017318552,-4.9361523e-05,3965,0,0.029358257,-0.048088167,-9.715804,3965
349697469,-0.003981218,0.0016540149,0.002162494,4000,0,0.023563905,-0.04612998,-9.711232,4000
349701475,-0.004518153,-0.0005105253,-0.001341107,4006,0,0.021613862,-0.03656356,-9.7129,4006
349705491,-0.0011031178,0.001320952,0.00015638207,4016,0,0.046464473,-0.038265854,-9.674184,4016
349709469,-0.0003591225,-0.0008021896,0.0011278612,3978,0,0.04063191,-0.044496015,-9.670351,3978
349713486,-0.004396357,-0.00081338093,-0.000914714,4017,0,0.03587911,-0.039276656,-9.680902,4017
349717469,-0.0027862408,-0.0010243895,-0.0005842177,3983,0,0.018702924,-0.033161473,-9.708071,3983
349721517,-0.0017425566,-0.00015992131,0.0002769553,4048,0,0.035012156,-0.036550473,-9.708397,4048
349725490,-0.0009966742,-0.00068992015,0.00028262084,3973,0,0.035511784,-0.032751296,-9.707496,3973
349729469,-0.00066646084,-0.0010177013,-0.0003571694,3979,0,0.03454938,-0.025972692,-9.696582,3979
349733516,-0.00014210645,-0.001120027,-0.00014684061,4047,0,0.030675147,-0.026421728,-9.691796,4047
349737469,0.0008242135,-0.002734547,-0.00023721793,3953,0,0.024823457,-0.035968132,-9.676636,3953
349741475,-0.00077528454,-0.001338114,-0.00046741636,4006,0,0.018184334,-0.056983653,-9.689931,4006
