timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
349722434,1562313522400139,488479780,23577696,69960,116141,1.8340001,0.7875726,7.2510004,10.859,1.63,2.02,84,8,0.34800002,-0.34800002,0.003,-0.13800001,0.4539264,0,nan,0.0,3,1,7
349915202,1562313522600139,488479780,23577690,69980,116161,1.9750001,0.7876414,7.2640004,10.836,1.63,2.02,84,8,0.30600002,-0.29000002,-0.096,-0.064,0.4539264,0,nan,0.0,3,1,7
350116173,1562313522800139,488479784,23577689,69988,116170,1.542,0.78769517,7.274,10.808001,1.63,2.02,84,8,0.116000004,-0.116000004,0.010000001,-0.120000005,0.4539264,0,nan,0.0,3,1,7
350320137,1562313523000139,488479784,23577692,69800,115981,0.897,0.7877264,7.2790003,10.785001,1.63,2.02,84,9,0.108,-0.031000001,0.10300001,-0.068,0.4539264,0,nan,0.0,3,1,7
350512078,1562313523200139,488479785,23577690,69751,115932,1.7780001,0.78778815,7.2830005,10.759001,1.63,2.02,84,9,0.126,-0.11800001,-0.045,-0.064,0.4539264,0,nan,0.0,3,1,7
350718975,1562313523400139,488479790,23577685,69828,116010,1.473,0.7878395,7.2860003,10.736,1.63,2.02,84,9,0.2,-0.19700001,0.036000002,0.054,0.4539264,0,nan,0.0,3,1,7
350920119,1562313523600139,488479789,23577677,69836,116017,1.6630001,0.7878974,7.2890005,10.713,1.63,2.02,84,9,0.33800003,-0.20700002,-0.26700002,-0.068,0.4539264,0,nan,0.0,3,1,7
351115196,1562313523800139,488479794,23577678,69726,115907,0.62100005,0.78791904,7.2910004,10.690001,1.63,2.02,84,9,0.10300001,-0.046000004,0.09200001,0.062000003,0.4539264,0,nan,0.0,3,1,7
351321153,1562313524000139,488479793,23577666,69772,115953,1.5910001,0.7879744,7.2960005,10.679001,1.63,2.02,84,8,0.44200003,-0.215,-0.386,-0.0050000004,0.4539264,0,nan,0.0,3,1,7
351517687,1562313524200140,488479798,23577652,69922,116103,1.7810001,0.78803635,7.3,10.661,1.63,2.02,84,8,0.256,-0.19600001,-0.165,0.021000002,0.4539264,0,nan,0.0,3,1,7
