,c1,c2,ch1,ch2,di,dj,dk,vw_i,vw_j,kt,train_sc_a,train_sc_v,val_sc_a,val_sc_v,total_sc_a,total_sc_v,used_logged_v_in_model,fit_on_v,base_lr,n_epochs,nsecs
0,0.013905500284437183,0.038678597893300914,0.028294192448782774,0.09999999944075016,0.8065269964045922,0.6320517340384121,1.5908600134731232,-7.33801165100585e-08,-2.85019869697369e-08,5.0,[1.1934236041667794],[0.005822648785442488],0,0,0,0,False,True,0.0001,20,-1
1,0.0139055004086512,0.038678596860602016,0.028294018299404405,0.09999998494947213,0.8065267909941356,0.6320297496509352,1.5908590272205092,4.6892252021885227e-07,2.9724806736609655e-07,5.0,[4.006434650224011],[0.013218340142863518],0,0,0,0,False,True,0.0001,20,-1
2,0.013905497278320559,0.03867862801902172,0.028293497085725653,0.09999993563490261,0.8065247415278176,0.6319462075443925,1.5909277228856604,4.5663258921610016e-08,2.420287932798683e-07,5.0,[0.9841475932206164],[0.0038690814476567085],0,0,0,0,False,True,0.0001,20,-1
3,0.013905497208063378,0.03867862850024353,0.028293497020920835,0.09999993563046446,0.8065247416680021,0.6319462059115566,1.5909276604638873,3.4180434855842386e-08,2.4790257461892487e-07,5.0,[0.4001814452929323],[0.00118210606261983],0,0,0,0,False,True,0.0001,20,-1
4,0.013905495952313815,0.0386786417031268,0.028293428246619793,0.0999999283975941,0.8065247103747546,0.6319338977021691,1.5909644692401212,-4.355165941329493e-07,1.388241391114255e-07,5.0,[3.636208229569859],[0.013102967379090988],0,0,0,0,False,True,0.0001,20,-1
5,0.013905495707660228,0.038678644354045694,0.028293424579836815,0.09999992799997687,0.8065244189975455,0.6319337973633792,1.5909691344177215,-5.248908658286902e-07,1.0719287136651254e-07,5.0,[0.628910485334771],[0.003449131413294432],0,0,0,0,False,True,0.0001,20,-1
6,0.013905495574639746,0.03867864534691989,0.028293423996350694,0.09999992795642133,0.8065244202573905,0.6319337928228901,1.5909691361717826,-4.297465731256126e-07,5.1342358460733916e-08,5.0,[0.3284721228600398],[0.003847697732803524],0,0,0,0,False,True,0.0001,20,-1
7,0.013905495364632894,0.03867864689885866,0.028293421677585806,0.09999992778508389,0.806524397972498,0.6319337789785331,1.5909691283686083,-3.8780291547314933e-07,2.716336394682056e-08,5.0,[0.5180201754918903],[0.0033450233106654265],0,0,0,0,False,True,0.0001,20,-1
8,0.013905494578735928,0.03867865407996461,0.028293521497543387,0.09999993691028247,0.8065379851371051,0.6319316266481545,1.5909780704687797,5.4604028377102773e-08,6.682183122301612e-07,5.0,[2.057658217896505],[0.014629066015491613],0,0,0,0,False,True,0.0001,20,-1
9,0.013905494361358383,0.03867865585998681,0.028293520391024736,0.09999993681958708,0.8065379654051799,0.6319316140534799,1.5909783631983716,2.6284397448033422e-08,6.56698165741268e-07,5.0,[0.6878064684147132],[0.003208518205567856],0,0,0,0,False,True,0.0001,20,-1
10,0.01390549380685963,0.03867866008636459,0.028293542223636985,0.09999993848429606,0.8065381024480683,0.6319325135295185,1.590978687556282,-2.808648704932058e-07,8.777454867236369e-07,5.0,[1.6124660032698748],[0.011350037314241805],0,0,0,0,False,True,0.0001,20,-1
11,0.01390549362200718,0.03867866151271554,0.02829354004233446,0.0999999383159723,0.8065380930706023,0.6319324693141201,1.5909787695350335,-3.0400100926177366e-07,9.460330491016066e-07,5.0,[0.5154033679830333],[0.0033672213789341337],0,0,0,0,False,True,0.0001,20,-1
12,0.013905500317286353,0.038678597546788006,0.02829395607589501,0.09999998027559581,0.8065265599296866,0.6320250831547086,1.5908590620607743,7.515495084685381e-07,4.117799807071531e-07,5.0,[0.8399606480195433],[0.007301595650303154],0,0,0,0,False,True,0.0001,20,-1
13,0.013905493796349215,0.038678660198089146,0.02829352282230039,0.09999993701727115,0.8065380017183066,0.631931069505756,1.5909786599267277,-2.5031567959025457e-07,1.029724053670761e-06,5.0,[1.0753011484634014],[0.003805129075633129],0,0,0,0,False,True,0.0001,20,-1
14,0.013905493936945075,0.038678659006433996,0.028293446134215243,0.09999993050227514,0.8065379759560034,0.6319237203815591,1.590977761081624,6.51478910427773e-08,1.217272768045236e-06,5.0,[1.2579262238550708],[0.008401991896206464],0,0,0,0,False,True,0.0001,20,-1
15,0.013905493784259267,0.03867866018268178,0.028293442424280394,0.09999993021610028,0.8065379737664962,0.6319236298664667,1.5909778268919834,8.829246207686971e-08,1.2686777403366344e-06,5.0,[0.7349263672955524],[0.0028074364138699053],0,0,0,0,False,True,0.0001,20,-1
16,0.013905493787889236,0.03867866015559229,0.02829344936118883,0.09999993073382027,0.8065379626597455,0.6319238062893031,1.5909778267415595,-1.0283631205306717e-09,1.3332552230577036e-06,5.0,[0.6048161136512538],[0.0032280047229211344],0,0,0,0,False,True,0.0001,20,-1
17,0.013905493691051532,0.03867866083537641,0.02829344911064525,0.09999993071623406,0.8065379615471127,0.6319238032489229,1.5909777836805477,-1.8637949149128884e-08,1.329925799794974e-06,5.0,[0.31966388974234017],[0.0015882060483492807],0,0,0,0,False,True,0.0001,20,-1
18,0.013905494143065368,0.03867865741101959,0.028292925077718974,0.09999989098475039,0.8065318902210205,0.6317731958129974,1.590976332999918,1.2288000316249835e-06,1.8363527664009016e-06,5.0,[4.922604247371921],[0.026070762139332352],0,0,0,0,False,True,0.0001,20,-1
19,0.01390549418701974,0.0386786571099866,0.028292925174724596,0.0999998909913845,0.8065318900601606,0.6317731984035155,1.5909763755427206,1.2256399335687016e-06,1.8393563554967165e-06,5.0,[0.44154706406474087],[0.0007388031589043193],0,0,0,0,False,True,0.0001,20,-1
20,0.013905494288072402,0.03867865642144333,0.028292924092088976,0.09999989091768874,0.8065318533493291,0.6317732073590528,1.5909764821585608,1.159529335022751e-06,1.798419756845482e-06,5.0,[0.6143051361616416],[0.0029776055331235474],0,0,0,0,False,True,0.0001,20,-1
21,0.013905494437580325,0.038678655319789576,0.028292911762476985,0.09999989000921064,0.8065317851927517,0.6317728105757578,1.5909765035944676,1.2129191617574707e-06,1.9085900966641597e-06,5.0,[0.7463609018695634],[0.004350007087908872],0,0,0,0,False,True,0.0001,20,-1
22,0.013905494616755736,0.03867865400690936,0.02829289112382699,0.09999988849724932,0.8065313727071135,0.6317727809870474,1.5909765286032322,1.3510139878115045e-06,1.5951581297969386e-06,5.0,[0.6770490097170176],[0.009253685443258015],0,0,0,0,False,True,0.0001,20,-1
