,c1,c2,ch1,ch2,di,dj,dk,vw_i,vw_j,kt,train_sc_a,train_sc_v,val_sc_a,val_sc_v,total_sc_a,total_sc_v,used_logged_v_in_model,fit_on_v,base_lr,n_epochs,nsecs
0,0.013899477556268101,0.03872218672158945,0.025783221580369334,0.09981828451893447,0.768789000577817,0.46576070499030575,1.585140885687493,-0.01130859012903762,0.003235138610589092,5.0,[1.1626693091792866],[0.00991233636484205],0,0,0,0,True,False,0.0001,30,-1
1,0.013881753381893356,0.038863809564537416,0.02447681667280919,0.09971374200954691,0.7636700367586141,0.388179885819821,1.623753044636746,-0.009750008698080553,0.007998601102250532,5.0,[1.2883745866158955],[0.006758805731160578],0,0,0,0,True,False,0.0001,30,-1
2,0.013867859322429205,0.03896549916272587,0.01823040880180645,0.09925129342209286,0.7586817797100409,0.0,1.6426809974344716,-0.03348070143332485,-0.0014205693745204008,5.0,[0.5218720076861255],[0.0027485007076119496],0,0,0,0,True,False,0.0001,30,-1
3,0.013602626626933878,0.04091928589690616,0.008401214978799042,0.09865656942917052,0.6669673706262023,0.0,2.0825117641669033,-0.13267579868712967,-0.016105199223881737,5.0,[0.7695368111245847],[0.00906669348478659],0,0,0,0,True,False,0.0001,30,-1
4,0.01365335181345898,0.040521543631490964,-0.01853433618007397,0.09449773045761323,1.8749002026475965,2.0403021902541965,1.3242484163813535,0.20135306442526826,0.28184165207013323,5.0,[0.2318274147199039],[0.010309935390701777],0,0,0,0,True,False,0.0001,30,-1
5,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
6,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
7,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
8,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
9,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
10,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
11,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
12,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
13,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
14,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
15,0.013663252216077029,0.040434205463693286,-0.029736559458654346,0.0935043852549353,1.8160234601572074,0.0,1.1056949101833744,0.1683662607534515,0.2651188514495453,5.0,[1.9698234266475305],[0.00884269426445566],0,0,0,0,True,False,0.0001,30,-1
16,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.0001,30,-1
