,c1,c2,ch1,ch2,di,dj,dk,vw_i,vw_j,kt,train_sc_a,train_sc_v,val_sc_a,val_sc_v,total_sc_a,total_sc_v,used_logged_v_in_model,fit_on_v,base_lr,n_epochs,nsecs
0,0.013178566798920979,0.044084165510212686,-0.008223913656240513,0.09732069615814166,0.0,0.0,1.6415571798989428,0.2292339466901191,-0.06295888445724752,5.031089743588246,[0.7338708593301815],[0.0075432636362608085],0,0,0,0,True,False,0.01,30,5
1,0.01527821915042914,0.02903286917629491,-0.009838436538520729,0.0972031214946565,0.0026509323551995624,0.0,1.4503285233268564,0.23033410066547969,-0.07007135339855955,5.093521647312251,[1.4640222006504033],[0.0051488384072445785],0,0,0,0,True,False,0.01,30,5
2,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
3,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
4,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
5,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
6,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
7,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
8,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
9,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
10,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
11,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
12,0.010371241353290029,0.07870533199380246,1.3802308081550136,0.23683129308299,3.628206671753341,283.86488293882303,107.46296544862754,1.5808778049424905,0.6890202566991572,5.358898101539668,[3.5022353689150414],[0.018133086425702317],0,0,0,0,True,False,0.01,30,5
13,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
14,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
15,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
16,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
17,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
18,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
19,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
20,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
21,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
22,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
23,0.015382176706627719,0.05085784466435703,-2.2989773372941222,0.03343145952435039,0.0,164.81957897286978,106.36838570763811,150.0,150.0,8.860431793550594,[41.26939624714575],[0.1667667092580224],0,0,0,0,True,False,0.01,30,5
24,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
25,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
26,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
27,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
28,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
29,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
30,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
31,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
32,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
33,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
34,0.0,185.1238646805865,-1224233.5258191668,-38424.07316987711,84066698.64252119,0.0,0.0,-150.0,-150.0,0.0,[132859.49475795036],[533.9336332834215],0,0,0,0,True,False,0.01,30,5
35,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
36,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
37,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
38,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
39,,,,,,,,,,,[nan],[nan],[nan],[nan],0,0,True,False,0.01,30,5
40,1515729575.44227,185.12317120351338,-18259782317.36569,-38424.07329455034,0.0,142768826817430.88,1790.405495128396,-150.0,150.0,1.0742078922644869e+17,[19523094177.418552],[78095356.46893075],0,0,0,0,True,False,0.01,30,5
41,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
42,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
43,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
44,,,,,,,,,,,[nan],[nan],0,0,0,0,True,False,0.01,30,5
